identifier,oldname,newname,enddate
609,A.P. Publications Limited:Master:2014,A.P. Publications Limited:Master,2100-01-01
998,AAHPERD:Master:2014,AAHPERD:Master,2100-01-01
867,Aberystwyth University:Master:2014,Aberystwyth University:Master,2100-01-01
419,Academy of Management:Master:2014,Academy of Management:Master,2100-01-01
610,ACCA:Master:2014,ACCA:Master,2100-01-01
420,Acoustical Society of America:Master:2014,Acoustical Society of America:Master,2100-01-01
607,Adbusters:Master:2014,Adbusters:Master,2100-01-01
608,Advanstar Communications:Master:2014,Advanstar Communications:Master,2100-01-01
421,Aerospace Medical Association:Master:2014,Aerospace Medical Association:Master,2100-01-01
917,Aesthetica Magazine:Master:2014,Aesthetica Magazine:Master,2100-01-01
422,Alexandrine Press:Master:2014,Alexandrine Press:Master,2100-01-01
423,Alliance for Children and Families:Master:2014,Alliance for Children and Families:Master,2100-01-01
605,AM Publishing:Master:2014,AM Publishing:Master,2100-01-01
424,American Accounting Association:Master:2014,American Accounting Association:Master,2100-01-01
492,American Association for the Advancement of Science:Master:2014,American Association for the Advancement of Science:Master,2100-01-01
1007,American Association of Cancer Research:Master:2014,American Association of Cancer Research:Master,2100-01-01
425,American Association of Immunologists:Master:2014,American Association of Immunologists:Master,2100-01-01
426,American Association of Petroleum Geologists:Master:2014,American Association of Petroleum Geologists:Master,2100-01-01
427,American Association of Physics Teachers:Master:2014,American Association of Physics Teachers:Master,2100-01-01
428,American Association on Intellectual and Developmental Disabilities:Master:2014,American Association on Intellectual and Developmental Disabilities:Master,2100-01-01
175,American Chemical Society:Master: 2013,American Chemical Society:Master,2100-01-01
429,American Institute of Aeronautics and Astronautics:Master:2014,American Institute of Aeronautics and Astronautics:Master,2100-01-01
897,American Institute of Certified Public Accountants:Master:2014,American Institute of Certified Public Accountants:Master,2100-01-01
584,American Institute of Physics:Master:2014,American Institute of Physics:Master,2100-01-01
870,American Library Association:Master:2014,American Library Association:Master,2100-01-01
430,American Marketing Association:Master:2014,American Marketing Association:Master,2100-01-01
379,American Mathematical Society:Master:2013,American Mathematical Society:Master,2100-01-01
1013,American Medical Association:Master:2014,American Medical Association:Master,2100-01-01
431,American Meteorological Society:Master:2014,American Meteorological Society:Master,2100-01-01
432,American Occupational Therapy Association:Master:2014,American Occupational Therapy Association:Master,2100-01-01
479,American Psychiatric Publishing:Master:2014,American Psychiatric Publishing:Master,2100-01-01
480,American Schools of Oriental Research:Master:2014,American Schools of Oriental Research:Master,2100-01-01
481,American Society for Biochemistry and Molecular Biology:Master:2014,American Society for Biochemistry and Molecular Biology:Master,2100-01-01
965,American Society for Microbiology:Master:2014,American Society for Microbiology:Master,2100-01-01
482,American Society for Nutrition:Master:2014,American Society for Nutrition:Master,2100-01-01
604,American Society for Quality:Master:2014,American Society for Quality:Master,2100-01-01
483,American Society for Testing and Materials:Master:2014,American Society for Testing and Materials:Master,2100-01-01
484,American Society of Agronomy:Master:2014,American Society of Agronomy:Master,2100-01-01
485,American Society of Animal Science:Master:2014,American Society of Animal Science:Master,2100-01-01
552,American Society of Civil Engineers:Master:2014,American Society of Civil Engineers:Master,2100-01-01
653,American Society of Comparative Law:Master:2014,American Society of Comparative Law:Master,2100-01-01
490,American Society of Limnology and Oceanography:Master:2014,American Society of Limnology and Oceanography:Master,2100-01-01
1037,American Society of Mechanical Engineers:Master:2014,American Society of Mechanical Engineers:Master,2100-01-01
489,American Society of Plant Biologists:Master:2014,American Society of Plant Biologists:Master,2100-01-01
488,American Society of Radiologic Technologists:Master:2014,American Society of Radiologic Technologists:Master,2100-01-01
487,American Society of Tropical Medicine and Hygiene:Master:2014,American Society of Tropical Medicine and Hygiene:Master,2100-01-01
282,American Speech-Language-Hearing Association:Master:2013,American Speech-Language-Hearing Association:Master,2100-01-01
603,Ammons Scientific:Master:2014,Ammons Scientific:Master,2100-01-01
602,Anja Publications:Master:2014,Anja Publications:Master,2100-01-01
441,Annual Reviews:Master:2014,Annual Reviews:Master,2100-01-01
601,Another Publishing:Master:2014,Another Publishing:Master,2100-01-01
726,Antiquity Publications:Master:2014,Antiquity Publications:Master,2100-01-01
600,Aperture Foundation:Master:2014,Aperture Foundation:Master,2100-01-01
918,Applied Probability Trust:Master:2014,Applied Probability Trust:Master,2100-01-01
1004,Archaeology Data Service:Master:2014,Archaeology Data Service:Master,2100-01-01
618,Architecture Today:Master:2014,Architecture Today:Master,2100-01-01
619,Arcwind:Master:2014,Arcwind:Master,2100-01-01
621,Arden Davies:Master:2014,Arden Davies:Master,2100-01-01
620,ARLIS UK & Ireland:Master:2014,ARLIS UK & Ireland:Master,2100-01-01
622,Arnoldo Mondadori Editore:Master:2014,Arnoldo Mondadori Editore:Master,2100-01-01
623,Art Asia Pacific Publishing:Master:2014,Art Asia Pacific Publishing:Master,2100-01-01
624,Art Journals:Master:2014,Art Journals:Master,2100-01-01
650,Art Monthly Publishing:Master:2014,Art Monthly Publishing:Master,2100-01-01
625,Art News:Master:2014,Art News:Master,2100-01-01
626,Artforum:Master:2014,Artforum:Master,2100-01-01
525,Artist Information Company:Master:2014,Artist Information Company:Master,2100-01-01
