Notes,KB_ID,KB_Name,JUSP_ID,ISNI,IP_ADDRESS
,389,Aberystwyth University,abe,0000 0001 2168 2483,144.124.*.*;
,390,Anglia Ruskin University,ang,0000 0001 2299 5510,193.63.55.0-56.255; 194.66.160.0-163.255; 194.82.44.0-47.255; 194.83.40.0-47.255; 195.194.16.0-195.194.17.255;  195.194.92.0-95.255; 195.194.252.0-195.194.255.255; 212.219.52.0-54.255; 
,391,Aston University,ast,0000 0004 0376 4727,134.151.*.*
,392,Bangor University,ban,0000 0001 1882 0937,147.143.*.*
,393,Bath Spa University,bsp,0000 0001 2034 9451,194.81.80.52; 194.81.80.60; 194.83.160.52
,394,Birkbeck College,bbk,0000 0001 2324 0507,192.60.224.*; 192.84.212.*; 193.61.3-16.*; 193.61.18-46.*; 193.61.48-62.*; DomainName: bbk.ac.uk
,395,Birmingham City University,bcu,0000 0001 2180 2449,193.60.128.* - 193.60.143.*
,396,Bishop Grosseteste University,big,0000 0004 0420 4027,194.81.86.249
,397,Bournemouth University,bou,0000 0001 0728 4630,194.66.64 - 79.*; 194.80.64 - 71.*
,398,Brunel University,bru,0000 0001 0724 6933,134.83.*.*
,399,Buckinghamshire New University,buc,0000 0001 2154 0135,192.149.238.*; 193.63.224.* - 193.63.231.*; 194.81.64.* - 194.81.71.*
,1047,Cancer Research UK (CRUK),,,
,400,Canterbury Christ Church University,can,0000 0001 2324 2350,194.82.210.210; 194.82.210.211  
,401,Cardiff Metropolitan University,uwi,0000 0001 2034 1556,193.62.97.0-193.62.97.255
,402,Cardiff University,car,0000 0001 0807 5670,131.251.*.*; 193.63.112.*-127.*; 195.194.64.*-67.*
,403,Central School of Speech and Drama,,0000 0004 0422 5274,194.81.235.1-255
,1143,City College Norwich,,,
,404,"City University, London",cit,0000 0001 2353 9090,217.112.157.7 - library proxy server
,405,Conservatoire for Dance and Drama,cdd,0000 0000 8693 6184,212.219.240.238; 195.188.238.252; 193.60.199.36; 192.168.10.10; 192.*; 194.*; 194.83.10.249; 192.168.254.100-192.168.254.200
,406,Courtauld Institute of Art,cia,0000 0004 1936 850X,193.63.184.0 - 193.63.184.254
,407,Coventry University,cov,0000 0001 0675 4565,81.208.128-255.*; 193.61.104-107.*; 194.66.32-63.*; Exclude 194.66.32.021 walk-in WiFi
,408,Cranfield University,cra,0000 0001 0679 2190,138.250.0.0-138.250.255.255; 193.63.240.0-193.63.247.255; 195.195.246.5
,409,De Montfort University,dmu,0000 0001 2153 2936,146.227.*.*
,410,Durham University,dur,0000 0000 8700 0572,129.234.*.*
,411,Edge Hill University,edg,0000 0000 8794 7109,193.62.0* - 193.62.15*; 205.227.90.37;192.168.10*
,413,Edinburgh Napier University,nap,0000 0001 2348 339X,146.176.*.*
,414,Glasgow Caledonian University,gcu,0000 0001 0669 8188,193.62.251.8-34; 193.62.251.37-59; 193.62.226.60; 165.193.178.88
,415,Glasgow School of Art,gsa,0000 0004 0404 8837,194.81.28 - 31.*
