filename,package uri
/Users/damyantiandowen/Sites/KBPlus-helpers/mechanize/swets/dev/AACN American Association of Critical Care_Master.csv,/kbplus/packageDetails/show/1271
/Users/damyantiandowen/Sites/KBPlus-helpers/mechanize/swets/dev/Allen Press_Master.csv,/kbplus/packageDetails/show/1272
/Users/damyantiandowen/Sites/KBPlus-helpers/mechanize/swets/dev/American Academy of Pediatrics_Master.csv,/kbplus/packageDetails/show/1273
/Users/damyantiandowen/Sites/KBPlus-helpers/mechanize/swets/dev/American College of Chest Physicians_Master.csv,/kbplus/packageDetails/show/1274
/Users/damyantiandowen/Sites/KBPlus-helpers/mechanize/swets/dev/American College of Physicians_Master.csv,/kbplus/packageDetails/show/1275
/Users/damyantiandowen/Sites/KBPlus-helpers/mechanize/swets/dev/American Diabetes Association_Master.csv,/kbplus/packageDetails/show/1276
/Users/damyantiandowen/Sites/KBPlus-helpers/mechanize/swets/dev/American Society for Biochemistry and Molecular Biology_Master.csv,/kbplus/packageDetails/show/1116
/Users/damyantiandowen/Sites/KBPlus-helpers/mechanize/swets/dev/American Society of Nephrology_Master.csv,/kbplus/packageDetails/show/1277
/Users/damyantiandowen/Sites/KBPlus-helpers/mechanize/swets/dev/Ancient History Bulletin_Master.csv,/kbplus/packageDetails/show/1278
/Users/damyantiandowen/Sites/KBPlus-helpers/mechanize/swets/dev/ARVO Association for Research in Vision and_Master.csv,/kbplus/packageDetails/show/1279
/Users/damyantiandowen/Sites/KBPlus-helpers/mechanize/swets/dev/ASCB American Society for Cell Biology_Master.csv,/kbplus/packageDetails/show/1280
/Users/damyantiandowen/Sites/KBPlus-helpers/mechanize/swets/dev/ASPET_Master.csv,/kbplus/packageDetails/show/1281
/Users/damyantiandowen/Sites/KBPlus-helpers/mechanize/swets/dev/Begell House Online Journals_Master.csv,/kbplus/packageDetails/show/1282
/Users/damyantiandowen/Sites/KBPlus-helpers/mechanize/swets/dev/Bentham Science Publishers Ltd_Master.csv,/kbplus/packageDetails/show/1283
/Users/damyantiandowen/Sites/KBPlus-helpers/mechanize/swets/dev/Blood Journal Subscription Office_Master.csv,/kbplus/packageDetails/show/1284
/Users/damyantiandowen/Sites/KBPlus-helpers/mechanize/swets/dev/Brepols Publishers_Master.csv,/kbplus/packageDetails/show/1285
/Users/damyantiandowen/Sites/KBPlus-helpers/mechanize/swets/dev/Edizioni ETS - Edizioni Tecnico Scientifica_Master.csv,/kbplus/packageDetails/show/1286
/Users/damyantiandowen/Sites/KBPlus-helpers/mechanize/swets/dev/Edizioni Minerva Medica SpA_Master.csv,/kbplus/packageDetails/show/1287
/Users/damyantiandowen/Sites/KBPlus-helpers/mechanize/swets/dev/Federation of American Societies for Experimental Biology_Master.csv,/kbplus/packageDetails/show/1110
/Users/damyantiandowen/Sites/KBPlus-helpers/mechanize/swets/dev/Homer Kitabevi_Master.csv,/kbplus/packageDetails/show/1288
/Users/damyantiandowen/Sites/KBPlus-helpers/mechanize/swets/dev/Inderscience Enterprises_Master.csv,/kbplus/packageDetails/show/802
/Users/damyantiandowen/Sites/KBPlus-helpers/mechanize/swets/dev/Indiana University Press_Master.csv,/kbplus/packageDetails/show/1289
/Users/damyantiandowen/Sites/KBPlus-helpers/mechanize/swets/dev/Informa Business Information_Master.csv,/kbplus/packageDetails/show/1290
/Users/damyantiandowen/Sites/KBPlus-helpers/mechanize/swets/dev/Informs_Master.csv,/kbplus/packageDetails/show/799
/Users/damyantiandowen/Sites/KBPlus-helpers/mechanize/swets/dev/Intellect_Master.csv,/kbplus/packageDetails/show/469
/Users/damyantiandowen/Sites/KBPlus-helpers/mechanize/swets/dev/ISD - Distributor of Scholarly Books_Master.csv,/kbplus/packageDetails/show/1291
/Users/damyantiandowen/Sites/KBPlus-helpers/mechanize/swets/dev/James Nicholas Publishers_Master.csv,/kbplus/packageDetails/show/1292
/Users/damyantiandowen/Sites/KBPlus-helpers/mechanize/swets/dev/John Benjamins Publishing_Master.csv,/kbplus/packageDetails/show/570
/Users/damyantiandowen/Sites/KBPlus-helpers/mechanize/swets/dev/Johns Hopkins University Press_Master.csv,/kbplus/packageDetails/show/1293
/Users/damyantiandowen/Sites/KBPlus-helpers/mechanize/swets/dev/Magnolia Press_Master.csv,/kbplus/packageDetails/show/1294
/Users/damyantiandowen/Sites/KBPlus-helpers/mechanize/swets/dev/Michigan State University Press_Master.csv,/kbplus/packageDetails/show/1295
/Users/damyantiandowen/Sites/KBPlus-helpers/mechanize/swets/dev/MSP - Mathematical Sciences Publishers_Master.csv,/kbplus/packageDetails/show/1296
/Users/damyantiandowen/Sites/KBPlus-helpers/mechanize/swets/dev/MUP - Turpin Distribution Ltd_Master.csv,false
/Users/damyantiandowen/Sites/KBPlus-helpers/mechanize/swets/dev/National Council Teachers Mathematics_Master.csv,/kbplus/packageDetails/show/1297
/Users/damyantiandowen/Sites/KBPlus-helpers/mechanize/swets/dev/Optical Society_Master.csv,/kbplus/packageDetails/show/949
/Users/damyantiandowen/Sites/KBPlus-helpers/mechanize/swets/dev/Physicians Postgraduate Press Inc_Master.csv,/kbplus/packageDetails/show/1298
/Users/damyantiandowen/Sites/KBPlus-helpers/mechanize/swets/dev/Policy Press_Master.csv,/kbplus/packageDetails/show/440
