Done,(1)willing to get their data added (2) KB+ never used,SubscriptionId,InstitutionName,JC Institution Name,NewJiscBand,LegacyJiscBand,Sector,OrderDate,ResourceName,SubscriptionStart,SubscriptionExpiry,AgreementName,AgreementStartDate,AgreementEndDate,LicenceType,SubscriptionStatus,Agreement Type
,,43102,University_of_Wales_Trinity_St_David,University of Wales Trinity St David,,,,,19th Century British Library Newspapers (2013-2014)  (Band 7 / E),2013-08-01,2014-03-24,,,,,,
,,35106,University_of_Wales_Trinity_St_David,University of Wales Trinity St David,,,,,ACLS Humanities E-Book 2011-2014 (Band 7 / E),2011-08-01,2014-07-31,,,,,,
,,42238,University_of_Wales_Trinity_St_David,University of Wales Trinity St David,,,,,"Brill Journal Archive Online Parts 1, 1a and 2  (JOBA1 & 2) - Vol 1 to 2009 - June 2013 to December 2018 (Band 7 / E)",2013-05-29,2018-12-31,,,,,,
,,35458,University_of_Wales_Trinity_St_David,University of Wales Trinity St David,,,,,Digimap Ordnance Survey Collection®  2011-2016 (Band 7 / E),2011-08-01,2016-07-31,,,,,,
,,40914,University_of_Wales_Trinity_St_David,University of Wales Trinity St David,,,,,Literature Online  2013 - 2015 (Band 7 / E),2013-01-01,2015-12-31,,,,,,
,,32249,University_of_Wales_Trinity_St_David,University of Wales Trinity St David,,,,,Geology Digimap: 2010-2016 Agreement (Band 9 / H),2010-09-03,2016-07-31,,,,,,
,,41822,University_of_Wales_Trinity_St_David,University of Wales Trinity St David,,,,,Historic Digimap 2013-2016 agreement (Band 9 / H),2013-08-01,2016-07-31,,,,,,
,,41449,University_of_Wales_Trinity_St_David,University of Wales Trinity St David,,,,,Journals Usage Statistics Portal (JUSP) - Institutional Participation Agreement (Band 9 / H),2013-02-26,2018-02-06,,,,,,
,,39880,University_of_Wales_Trinity_St_David,University of Wales Trinity St David,,,,,JSTOR - Arts & Sciences I Collection 2012 renewal (Band 9 / H),2012-09-24,2015-07-31,,,,,,
,,39881,University_of_Wales_Trinity_St_David,University of Wales Trinity St David,,,,,JSTOR - Arts & Sciences II Collection-2012 renewal (Band 9 / H),2012-09-24,2015-07-31,,,,,,
,,39882,University_of_Wales_Trinity_St_David,University of Wales Trinity St David,,,,,JSTOR - Arts & Sciences III Collection-2012 renewal (Band 9 / H),2012-09-24,2015-07-31,,,,,,
,,39883,University_of_Wales_Trinity_St_David,University of Wales Trinity St David,,,,,JSTOR - Arts & Sciences IV Collection-2012 renewal (Band 9 / H),2012-09-24,2015-07-31,,,,,,
,,39884,University_of_Wales_Trinity_St_David,University of Wales Trinity St David,,,,,JSTOR - Arts & Sciences V Collection 2012 renewal (Band 9 / H),2012-09-24,2015-07-31,,,,,,
,,39885,University_of_Wales_Trinity_St_David,University of Wales Trinity St David,,,,,JSTOR - Arts & Sciences VII Collection-2012 renewal (Band 9 / H),2012-09-24,2015-07-31,,,,,,
,,39886,University_of_Wales_Trinity_St_David,University of Wales Trinity St David,,,,,JSTOR - Business II Collection-2012 renewal (Band 9 / H),2012-09-24,2015-07-31,,,,,,
,,39887,University_of_Wales_Trinity_St_David,University of Wales Trinity St David,,,,,JSTOR - Life Sciences Collection-2012 renewal (Band 9 / H),2012-09-24,2015-07-31,,,,,,
,,32575,University_of_Wales_Trinity_St_David,University of Wales Trinity St David,,,,,Marine Digimap (Band 9 / H),2010-10-05,2016-07-31,,,,,,
,,40597,University_of_Wales_Trinity_St_David,University of Wales Trinity St David,,,,,SAGE NESLi2 2013-14 Offer (Band 9 / H),2012-11-13,2014-12-31,,,,,,
,,37153,University_of_Wales_Trinity_St_David,University of Wales Trinity St David,,,,,Bridgeman Education (Band 7 / E),2012-02-02,2014-03-31,,,,,,
,,40764,University_of_Wales_Trinity_St_David,University of Wales Trinity St David,,,,,IOP Journal Archive 1874-1998 (Band 7 / E),2012-11-28,2014-12-31,,,,,,
,,41429,University_of_Wales_Trinity_St_David,University of Wales Trinity St David,,,,,Journals Usage Statistics Portal (JUSP) - Institutional Participation Agreement (Band 7 / E),2013-02-26,2018-02-06,,,,,,
,,40727,University_of_Wales_Trinity_St_David,University of Wales Trinity St David,,,,,Oxford Journals Archive and Archive Upgrade (2011-2014 for access via OUP's platform) (Band 7 / E),2012-11-27,2014-07-31,,,,,,
