SubscriptionId,InstitutionName,NewJiscBand,Sector,JC Institution Name,AccountStatus,OrderDate,ResourceName,SubscriptionStart,SubscriptionExpiry,AgreementName,AgreementStartDate,AgreementEndDate,LicenceType,Country,SubscriptionStatus,Agreement Type
46455,Anglia_Ruskin_University,Band 5,Higher Education,Anglia Ruskin University,Active,2014-04-01,RSC Journals Archive 1841-2007 (Institutions without a NESLi2 Licence),2014-04-07,2018-12-31,Royal Society of Chemistry Jisc Collections RSC Journal Archive 1841-2007 Dec 2018,2014-01-01,2018-12-31,Sublicence,England,Request sent,Yearly Agreement
46456,Anglia_Ruskin_University,Band 5,Higher Education,Anglia Ruskin University,Active,2014-04-01,Bridgeman Education (Annual Commitment) 2014-2017,2014-04-01,2017-03-31,Jisc Collections Bridgeman Bridgeman Education (Annual Commitment) 2014-2017,2014-04-01,2017-03-31,Sublicence,England,Active,Yearly Agreement
46573,Bangor_University,Band 5,Higher Education,Bangor University,Active,2014-04-11,Ubiquity Press Open Access Option 2: Post-Payment Option,2014-04-11,2014-07-31,Ubiquity Press Membership agreement,2013-08-01,2014-07-31,Sublicence,Wales,Active,Free Agreement
46553,Bangor_University,Band 5,Higher Education,Bangor University,Active,2014-04-09,Cambridge Companions Online - Literature and Classics 2014-2015,2014-04-09,2015-01-08,JISC Collections Cambridge University Press Cambridge Companions Online Jan 2015,2014-01-09,2015-01-08,Sublicence,Wales,Active,Yearly Agreement
46540,Bath_Spa_University,Band 8,Higher Education,Bath Spa University,Active,2014-04-08,Bridgeman Education (Three Year Commitment) 2014-2017,2014-04-08,2017-03-31,Bridgeman Education 2014- 2017 (Three Year Commitment),2014-04-01,2017-03-31,Sublicence,England,Active,Yearly Agreement
46473,Birmingham_City_University,Band 5,Higher Education,Birmingham City University,Active,2014-04-02,19th Century British Library Newspapers (2013-2014) ,2014-04-02,2014-07-31,19th Century British Library Newspapers,2013-08-01,2014-07-31,Direct,England,Request sent,Free Agreement
46550,Bishop_Grosseteste_University_College_Lincoln,Band 10,Higher Education,Bishop Grosseteste University,Active,2014-04-09,Cambridge Companions Online - Complete Collection 2014-2015,2014-04-09,2015-01-08,JISC Collections Cambridge University Press Cambridge Companions Online Jan 2015,2014-01-09,2015-01-08,Sublicence,England,Active,Yearly Agreement
46618,Brunel_University,Band 5,Higher Education,Brunel University,Active,2014-04-24,Elsevier Gold Retrospective 2013 article fees,2014-04-01,2014-12-31,Elsevier Gold Retrospective 2013 Fees licence holding document,2013-04-01,2014-12-31,Direct,England,Request sent,Consortia Agreement
46479,Canterbury_Christ_Church_University,Band 6,Higher Education,Canterbury Christ Church University,Active,2014-04-02,Bridgeman Education (Annual Commitment) 2014-2017,2014-04-02,2017-03-31,Jisc Collections Bridgeman Bridgeman Education (Annual Commitment) 2014-2017,2014-04-01,2017-03-31,Sublicence,England,Active,Yearly Agreement
46505,Durham_University,Band 4,Higher Education,Durham University,Active,2014-04-03,Jisc eCollections for Higher Education Institutions 2014-2017,2014-08-01,2017-07-31,Jisc eCollections for Higher Education Institutions 2014-2017,2014-08-01,2017-07-31,Sublicence,England,Active,Yearly Agreement
46503,Durham_University,Band 4,Higher Education,Durham University,Active,2014-04-03,Cambridge Companions Online - Complete Collection 2014-2015,2014-04-03,2015-01-08,JISC Collections Cambridge University Press Cambridge Companions Online Jan 2015,2014-01-09,2015-01-08,Sublicence,England,Active,Yearly Agreement
46504,Durham_University,Band 4,Higher Education,Durham University,Active,2014-04-03,Shakespeare Survey Online 2014-2015,2014-04-03,2015-01-08,JISC Collections Cambridge University Press Cambridge Companions Online Jan 2015,2014-01-09,2015-01-08,Sublicence,England,Active,Yearly Agreement
46633,Edinburgh_Napier_University,Band 6,Higher Education,Edinburgh Napier University,Active,2014-04-25,"Encyclopaedia Britannica - 4 Month Free Trial (3rd Feb to 31st May 2014) - Image Quest, Britannica Online Academic Edition, eBook Collection",2014-04-25,2014-05-31,Britannica Free Trial ,2014-02-01,2014-05-31,Direct,Scotland,Request sent,NESLi2 Agreement
46635,"Goldsmiths_College,_University_of_London",Band 7,Higher Education,"Goldsmiths College, University of London",Active,2014-04-25,Drama Online: Perpetual Purchase ,2014-04-25,2115-02-28,Drama Online Perpetual Purchase Agreement,2013-03-01,2115-02-28,Direct,England,Request sent,One-off Agreement
46645,Imperial_College_London,Band 2,Higher Education,Imperial College London,Active,2014-04-28,Taylor & Francis NESLi2 Journals Agreement 2012-2014,2014-04-28,2014-12-31,JISC Collections Taylor and Francis Group Taylor & Francis Journals December 2014,2012-01-01,2014-12-31,Direct,England,Request sent,NESLi2 Agreement
46634,King's_College_London,Band 2,Higher Education,King's College London,Active,2014-04-25,IOP Publishing NESLi2 2014 agreement - Option 2,2014-04-25,2014-12-31,IOPP NESLi2 2014 offer - Option 2,2014-01-01,2014-12-31,Direct,England,Active,NESLi2 Agreement
46530,King's_College_London,Band 2,Higher Education,King's College London,Active,2014-04-07,Cambridge Companions Online - Complete Collection 2014-2015,2014-04-07,2015-01-08,JISC Collections Cambridge University Press Cambridge Companions Online Jan 2015,2014-01-09,2015-01-08,Sublicence,England,Active,Yearly Agreement
46587,Leeds_Metropolitan_University,Band 5,Higher Education,Leeds Metropolitan University,Active,2014-04-16,Oxford Handbooks Online 2013-2014,2014-04-16,2014-08-31,JISC Collections Oxford University Press OUP Online Products Aug 2014,2013-09-01,2014-08-31,Sublicence,England,Active,Yearly Agreement
46595,Liverpool_Hope_University,Band 8,Higher Education,Liverpool Hope University,Active,2014-04-22,Digital Theatre Plus,2014-04-22,2016-04-30,JISC Collections Digital Theatre Ltd Digital Theatre Plus Apr 2016,2013-05-01,2016-04-30,Direct,England,Request sent,Yearly Agreement
46515,Liverpool_Hope_University,Band 8,Higher Education,Liverpool Hope University,Active,2014-04-04,Cambridge Companions Online - Complete Collection 2014-2015,2014-04-04,2015-01-08,JISC Collections Cambridge University Press Cambridge Companions Online Jan 2015,2014-01-09,2015-01-08,Sublicence,England,Active,Yearly Agreement
46464,Liverpool_John_Moores_University,Band 5,Higher Education,Liverpool John Moores University,Active,2014-04-02,Britannica Online Academic Edition - 2013 to 2015,2014-04-02,2015-07-31,Jisc Collections Enc Britannica Britannica Online Academic Editiona and Image Quest July 2015 ,2013-08-01,2015-07-31,Sublicence,England,Active,Yearly Agreement
46531,London_Metropolitan_University,Band 5,Higher Education,London Metropolitan University,Active,2014-04-07,Cambridge Companions Online - Complete Collection 2014-2015,2014-04-07,2015-01-08,JISC Collections Cambridge University Press Cambridge Companions Online Jan 2015,2014-01-09,2015-01-08,Sublicence,England,Active,Yearly Agreement
46589,London_School_of_Economics_&_Political_Science,Band 5,Higher Education,London School of Economics & Political Science,Active,2014-04-17,JSTOR - Arts & Sciences IX Collection-2012-15 renewal,2014-04-17,2015-07-31,HEFCE JSTOR JSTOR Archive July 2026,2012-08-01,2015-07-31,Direct,England,Request sent,Yearly Agreement
46590,London_School_of_Economics_&_Political_Science,Band 5,Higher Education,London School of Economics & Political Science,Active,2014-04-17,JSTOR - Arts & Sciences V Collection 2012-15 renewal,2014-04-17,2015-07-31,HEFCE JSTOR JSTOR Archive July 2026,2012-08-01,2015-07-31,Direct,England,Request sent,Yearly Agreement
46591,London_School_of_Economics_&_Political_Science,Band 5,Higher Education,London School of Economics & Political Science,Active,2014-04-17,JSTOR - Arts & Sciences VI Collection-2012-15 renewal,2014-04-17,2015-07-31,HEFCE JSTOR JSTOR Archive July 2026,2012-08-01,2015-07-31,Direct,England,Request sent,Yearly Agreement
46592,London_School_of_Economics_&_Political_Science,Band 5,Higher Education,London School of Economics & Political Science,Active,2014-04-17,JSTOR - Business IV Collection-2012-15 renewal,2014-04-17,2015-07-31,HEFCE JSTOR JSTOR Archive July 2026,2012-08-01,2015-07-31,Direct,England,Request sent,Yearly Agreement
46620,London_School_of_Economics_&_Political_Science,Band 5,Higher Education,London School of Economics & Political Science,Active,2014-04-24,Elsevier Gold Retrospective 2013 article fees,2013-04-01,2014-12-31,Elsevier Gold Retrospective 2013 Fees licence holding document,2013-04-01,2014-12-31,Direct,England,Request sent,Consortia Agreement
46593,Middlesex_University,Band 5,Higher Education,Middlesex University,Active,2014-04-17,19th Century British Library Newspapers (2013-2014) ,2014-04-17,2014-07-31,19th Century British Library Newspapers,2013-08-01,2014-07-31,Direct,England,Request sent,Free Agreement
46528,"Newman_University_College,_Birmingham",Band 9,Higher Education,Newman University,Active,2014-04-07,Cambridge Companions Online - Literature and Classics 2014-2015,2014-04-07,2015-01-08,JISC Collections Cambridge University Press Cambridge Companions Online Jan 2015,2014-01-09,2015-01-08,Sublicence,England,Active,Yearly Agreement
46529,"Newman_University_College,_Birmingham",Band 9,Higher Education,Newman University,Active,2014-04-07,Shakespeare Survey Online 2014-2015,2014-04-07,2015-01-08,JISC Collections Cambridge University Press Cambridge Companions Online Jan 2015,2014-01-09,2015-01-08,Sublicence,England,Active,Yearly Agreement
46567,Oxford_Brookes_University,Band 5,Higher Education,Oxford Brookes University,Active,2014-04-10,Jisc eCollections for Higher Education Institutions 2014-2017,2014-08-01,2017-07-31,Jisc eCollections for Higher Education Institutions 2014-2017,2014-08-01,2017-07-31,Sublicence,England,Active,Yearly Agreement
46554,Roehampton_University,Band 7,Higher Education,Roehampton University,Active,2014-04-09,Cambridge Companions Online - Complete Collection 2014-2015,2014-04-09,2015-01-08,JISC Collections Cambridge University Press Cambridge Companions Online Jan 2015,2014-01-09,2015-01-08,Sublicence,England,Active,Yearly Agreement
46555,Roehampton_University,Band 7,Higher Education,Roehampton University,Active,2014-04-09,Shakespeare Survey Online 2014-2015,2014-04-09,2015-01-08,JISC Collections Cambridge University Press Cambridge Companions Online Jan 2015,2014-01-09,2015-01-08,Sublicence,England,Active,Yearly Agreement
46481,"Royal_Holloway,_University_of_London",Band 6,Higher Education,"Royal Holloway, University of London",Active,2014-04-02,Cambridge Companions Online - Complete Collection 2014-2015,2014-04-02,2015-01-08,JISC Collections Cambridge University Press Cambridge Companions Online Jan 2015,2014-01-09,2015-01-08,Sublicence,England,Active,Yearly Agreement
46482,"Royal_Holloway,_University_of_London",Band 6,Higher Education,"Royal Holloway, University of London",Active,2014-04-02,Shakespeare Survey Online 2014-2015,2014-04-02,2015-01-08,JISC Collections Cambridge University Press Cambridge Companions Online Jan 2015,2014-01-09,2015-01-08,Sublicence,England,Active,Yearly Agreement
46597,Royal_Northern_College_of_Music,Band 10,Higher Education,Royal Northern College of Music,Active,2014-04-22,Cambridge Companions Online - Music 2014-2015,2014-04-22,2015-01-08,JISC Collections Cambridge University Press Cambridge Companions Online Jan 2015,2014-01-09,2015-01-08,Sublicence,England,Active,Yearly Agreement
46476,"Royal_Veterinary_College,_University_of_London",Band 7,Higher Education,"Royal Veterinary College, University of London",Active,2014-04-02,Cambridge Journals Digital Archive,2014-04-02,2015-06-30,JISC Collections Cambridge University Press Cambridge Journals Digital Archive no expiry date,2010-08-12,2015-06-30,Sublicence,England,Active,Free Agreement
