SubscriptionId,InstitutionName,NewJiscBand,Sector,JC Institution Name,AccountStatus,OrderDate,ResourceName,SubscriptionStart,SubscriptionExpiry,AgreementName,AgreementStartDate,AgreementEndDate,LicenceType,Country,SubscriptionStatus,Agreement Type,Column
46757,Anglia_Ruskin_University,Band 5,Higher Education,Anglia Ruskin University,Active,2014-05-21,Info4education - Construction Information Service (3 Year Commitment) 2014-2017,2014-06-01,2017-05-31,JISC Collections IHS Info4Education Construction Information Service 3-year May 2017,2014-06-01,2017-05-31,Sublicence,England,Active,Yearly Agreement,
46752,Aston_University,Band 6,Higher Education,Aston University,Active,2014-05-21,Portico eJournals (2014-2017),2014-07-01,2017-06-30,Portico Jisc Collections Portico June 2017,2014-07-01,2017-06-30,Direct,England,Request sent,Yearly Agreement,
46840,Bath_Spa_University,Band 8,Higher Education,Bath Spa University,Active,2014-05-28,Portico eJournals (2014-2017),2014-07-01,2017-06-30,Portico Jisc Collections Portico June 2017,2014-07-01,2017-06-30,Direct,England,Request sent,Yearly Agreement,
46676,Birkbeck_College,Band 7,Higher Education,Birkbeck College,Active,2014-05-02,Jisc eCollections for Higher Education Institutions 2014-2017,2014-08-01,2017-07-31,Jisc eCollections for Higher Education Institutions 2014-2017,2014-08-01,2017-07-31,Sublicence,England,Active,Yearly Agreement,
46720,Birkbeck_College,Band 7,Higher Education,Birkbeck College,Active,2014-05-15,JSTOR - Arts & Sciences X Collection-2012-15 renewal,2014-05-19,2015-07-31,HEFCE JSTOR JSTOR Archive July 2026,2012-08-01,2015-07-31,Direct,England,Request sent,Yearly Agreement,
46721,Birkbeck_College,Band 7,Higher Education,Birkbeck College,Active,2014-05-15,JSTOR - Arts & Sciences XI Collection-2012-15 renewal,2014-05-19,2015-07-31,HEFCE JSTOR JSTOR Archive July 2026,2012-08-01,2015-07-31,Direct,England,Request sent,Yearly Agreement,
46765,Birkbeck_College,Band 7,Higher Education,Birkbeck College,Active,2014-05-21,Cambridge Companions Online - Philosophy and Religion 2014-2015,2014-05-21,2015-01-08,JISC Collections Cambridge University Press Cambridge Companions Online Jan 2015,2014-01-09,2015-01-08,Sublicence,England,Active,Yearly Agreement,
46842,Birkbeck_College,Band 7,Higher Education,Birkbeck College,Active,2014-05-28,Credo Reference Academic Core Premium Collection with Standard Topic Pages (2014-2017) - Annual Commitment,2014-06-01,2017-05-31,Credo Reference Academic Core Premium Collection with Standard Topic Pages (2014-2017) - Annual Commitment,2014-06-01,2017-05-31,Sublicence,England,Active,Yearly Agreement,
46705,Birmingham_City_University,Band 5,Higher Education,Birmingham City University,Active,2014-05-12,The Burney Collection ,2014-05-12,2015-07-31,Cengage Jisc Collections Burney Collection July 2015,2014-01-01,2015-07-31,Direct,England,Request sent,Yearly Agreement,
46835,Birmingham_City_University,Band 5,Higher Education,Birmingham City University,Active,2014-05-28,British Standards Online 2014-2017,2014-06-01,2017-05-31,JISC Collections BSI Standards Ltd British Standards Online May 2017 ,2014-06-01,2017-05-31,Sublicence,England,Active,Yearly Agreement,
46836,Birmingham_City_University,Band 5,Higher Education,Birmingham City University,Active,2014-05-28,Info4education - Construction Information Service (Without British Standards) (3 Year Commitment) 2014-2017,2014-06-01,2017-05-31,Jisc Collections IHS Info4education Construction Information Service (Without BS) 3-year May 2017,2014-06-01,2017-05-31,Sublicence,England,Active,Yearly Agreement,
46837,Birmingham_City_University,Band 5,Higher Education,Birmingham City University,Active,2014-05-28,Info4education - Construction Information Service (Without British Standards) (3 Year Commitment) 2014-2017,2014-06-01,2017-05-31,Jisc Collections IHS Info4education Construction Information Service (Without BS) 3-year May 2017,2014-06-01,2017-05-31,Sublicence,England,Active,Yearly Agreement,
46839,Birmingham_City_University,Band 5,Higher Education,Birmingham City University,Active,2014-05-28,Info4education - Specify-it (3 Year Commitment) 2014-2017,2014-06-01,2017-05-31,Jisc Collections IHS Info4education Specify it 3-Year May 2017,2014-06-01,2017-05-31,Sublicence,England,Active,Yearly Agreement,
46797,Bournemouth_University,Band 5,Higher Education,Bournemouth University,Active,2014-05-23,British Standards Online 2014-2017,2014-06-01,2017-05-31,JISC Collections BSI Standards Ltd British Standards Online May 2017 ,2014-06-01,2017-05-31,Sublicence,England,Active,Yearly Agreement,
46746,Brunel_University,Band 5,Higher Education,Brunel University,Active,2014-05-20,Info4education - Construction Information Service (Without British Standards) (3 Year Commitment) 2014-2017,2014-06-01,2017-05-31,Jisc Collections IHS Info4education Construction Information Service (Without BS) 3-year May 2017,2014-06-01,2017-05-31,Sublicence,England,Active,Yearly Agreement,
46874,Brunel_University,Band 5,Higher Education,Brunel University,Active,2014-05-30,British Standards Online 2014-2017,2014-06-01,2017-05-31,JISC Collections BSI Standards Ltd British Standards Online May 2017 ,2014-06-01,2017-05-31,Sublicence,England,Active,Yearly Agreement,
46729,Canterbury_Christ_Church_University,Band 6,Higher Education,Canterbury Christ Church University,Active,2014-05-16,Historic Digimap 2013-2016 agreement,2014-05-16,2016-07-31,Landmark_Information_Group_JISC_Collections_August_2016_sub-licence,2013-08-01,2016-07-31,Sublicence,England,Active,Yearly Agreement,
46849,Cardiff_Metropolitan_University,Band 7,Higher Education,Cardiff Metropolitan University,Active,2014-05-29,Info4education - Portal (All Products) 3 Year Commitment (2014-2017),2014-06-01,2017-05-31,Jisc Collections IHS Info4education Portal 3-year May 2017,2014-06-01,2017-05-31,Sublicence,Wales,Active,Yearly Agreement,
46846,Cardiff_University,Band 3,Higher Education,Cardiff University,Active,2014-05-28,Info4education - Construction Information Service (3 Year Commitment) 2014-2017,2014-06-01,2017-05-31,JISC Collections IHS Info4Education Construction Information Service 3-year May 2017,2014-06-01,2017-05-31,Sublicence,Wales,Active,Yearly Agreement,
46847,Cardiff_University,Band 3,Higher Education,Cardiff University,Active,2014-05-28,British Standards Online 2014-2017,2014-06-01,2017-05-31,JISC Collections BSI Standards Ltd British Standards Online May 2017 ,2014-06-01,2017-05-31,Sublicence,Wales,Active,Yearly Agreement,
46747,"City_University,_London",Band 5,Higher Education,"City University, London",Active,2014-05-20,Info4education - Portal (All Products) Annual Commitment 2014-2017,2014-06-01,2017-05-31,Jisc Collections IHS Info4education Portal Annual May 2017,2014-06-01,2017-05-31,Sublicence,England,Active,Yearly Agreement,
46782,"City_University,_London",Band 5,Higher Education,"City University, London",Active,2014-05-22,British Standards Online 2014-2017,2014-06-01,2017-05-31,JISC Collections BSI Standards Ltd British Standards Online May 2017 ,2014-06-01,2017-05-31,Sublicence,England,Active,Yearly Agreement,
46805,Coventry_University,Band 5,Higher Education,Coventry University,Active,2014-05-27,British Standards Online 2014-2017,2014-06-01,2017-05-31,JISC Collections BSI Standards Ltd British Standards Online May 2017 ,2014-06-01,2017-05-31,Sublicence,England,Active,Yearly Agreement,
46871,Cranfield_University,Band 5,Higher Education,Cranfield University,Active,2014-05-29,British Standards Online 2014-2017,2014-06-01,2017-05-31,JISC Collections BSI Standards Ltd British Standards Online May 2017 ,2014-06-01,2017-05-31,Sublicence,England,Active,Yearly Agreement,
46773,Durham_University,Band 4,Higher Education,Durham University,Active,2014-05-22,British Standards Online 2014-2017,2014-06-01,2017-05-31,JISC Collections BSI Standards Ltd British Standards Online May 2017 ,2014-06-01,2017-05-31,Sublicence,England,Active,Yearly Agreement,
46701,Edge_Hill_University,Band 6,Higher Education,Edge Hill University,Active,2014-05-09,Jisc eCollections for Higher Education Institutions 2014-2017,2014-08-01,2017-07-31,Jisc eCollections for Higher Education Institutions 2014-2017,2014-08-01,2017-07-31,Sublicence,England,Active,Yearly Agreement,
