SubscriptionId,InstitutionName,NewJiscBand,Sector,JC Institution Name,AccountStatus,OrderDate,ResourceName,SubscriptionStart,SubscriptionExpiry
47372,Aberystwyth_University,Band 6,Higher Education,Aberystwyth University,Active,7/7/14 9:39,Jisc eCollections: Historical Texts and Journal Archives for HE 2014-2017,2014-08-01,2017-07-31
47374,Aberystwyth_University,Band 6,Higher Education,Aberystwyth University,Active,7/7/14 9:47,"The Burney Collection, 19th Century British Library Newspapers and 19th Century UK Periodicals Online Series 1 (2014 - 2017)",2014-08-01,2017-07-31
47444,Aberystwyth_University,Band 6,Higher Education,Aberystwyth University,Active,7/10/14 9:06,The Times Digital Archive (1785-2008) WHEEL 2014-2017,2014-08-01,2017-07-31
47730,Aberystwyth_University,Band 6,Higher Education,Aberystwyth University,Active,7/24/14 12:49,Science Classic,2014-07-24,2114-06-30
47830,Aberystwyth_University,Band 6,Higher Education,Aberystwyth University,Active,7/30/14 16:00,EBSCO Education Databases,2014-08-01,2017-07-31
47574,Anglia_Ruskin_University,Band 5,Higher Education,Anglia Ruskin University,Active,7/16/14 16:34,Environment Digimap (2014-2015),2014-08-01,2015-07-31
47575,Anglia_Ruskin_University,Band 5,Higher Education,Anglia Ruskin University,Active,7/16/14 16:34,"The Burney Collection, 19th Century British Library Newspapers and 19th Century UK Periodicals Online Series 1 (2014 - 2017)",2014-08-01,2017-07-31
47576,Anglia_Ruskin_University,Band 5,Higher Education,Anglia Ruskin University,Active,7/16/14 16:34,Digital Theatre Plus,2014-09-01,2016-04-30
47577,Anglia_Ruskin_University,Band 5,Higher Education,Anglia Ruskin University,Active,7/16/14 16:34,a-n The Artists Information Company 2014-17,2014-08-01,2017-07-31
47691,Anglia_Ruskin_University,Band 5,Higher Education,Anglia Ruskin University,Active,7/22/14 15:08,EBSCO Education Databases,2014-08-01,2017-07-31
47728,Aston_University,Band 6,Higher Education,Aston University,Active,7/24/14 12:29,Science Classic,2014-07-24,2114-06-30
47445,Bangor_University,Band 5,Higher Education,Bangor University,Active,7/10/14 9:06,The Times Digital Archive (1785-2008) WHEEL 2014-2017,2014-08-01,2017-07-31
47719,Bangor_University,Band 5,Higher Education,Bangor University,Active,7/24/14 9:42,a-n The Artists Information Company 2014-17,2014-08-01,2017-07-31
47656,Bath_Spa_University,Band 8,Higher Education,Bath Spa University,Active,7/21/14 14:46,a-n The Artists Information Company 2014-17,2014-08-01,2017-07-31
47662,Bath_Spa_University,Band 8,Higher Education,Bath Spa University,Active,7/21/14 15:37,EBSCO Education Databases,2014-08-01,2017-07-31
47804,Birkbeck_College,Band 7,Higher Education,Birkbeck College,Active,7/29/14 16:44,Science Classic,2014-07-29,2114-06-30
47545,Birmingham_City_University,Band 5,Higher Education,Birmingham City University,Active,7/16/14 11:57,a-n The Artists Information Company 2014-17,2014-08-01,2017-07-31
47695,Birmingham_City_University,Band 5,Higher Education,Birmingham City University,Active,7/22/14 15:54,EBSCO Education Databases,2014-08-01,2017-07-31
47288,Bishop_Grosseteste_University_College_Lincoln,Band 10,Higher Education,Bishop Grosseteste University,Active,7/2/14 11:38,"The Burney Collection, 19th Century British Library Newspapers and 19th Century UK Periodicals Online Series 1 (2014 - 2017)",2014-08-01,2017-07-31
47314,Bishop_Grosseteste_University_College_Lincoln,Band 10,Higher Education,Bishop Grosseteste University,Active,7/3/14 15:53,Jisc eCollections: Historical Texts and Journal Archives for HE 2014-2017,2014-08-01,2017-07-31
47640,Bishop_Grosseteste_University_College_Lincoln,Band 10,Higher Education,Bishop Grosseteste University,Active,7/21/14 9:44,a-n The Artists Information Company 2014-17,2014-08-01,2017-07-31
47425,Bournemouth_University,Band 5,Higher Education,Bournemouth University,Active,7/9/14 8:40,The Times Digital Archive (1785-2008 and rolling) 2014-2017,2014-08-01,2017-07-31
47597,Bournemouth_University,Band 5,Higher Education,Bournemouth University,Active,7/18/14 8:39,Early European Books Collections 1-4 and The Vogue Archive,2014-07-18,2014-10-31
47650,Brunel_University,Band 5,Higher Education,Brunel University,Active,7/21/14 11:40,EBSCO Education Databases,2014-08-01,2017-07-31
47554,Buckinghamshire_New_University,Band 7,Higher Education,Buckinghamshire New University,Active,7/16/14 13:10,a-n The Artists Information Company 2014-17,2014-08-01,2017-07-31
47284,Canterbury_Christ_Church_University,Band 6,Higher Education,Canterbury Christ Church University,Active,7/2/14 9:51,Portico eBooks (2014-2017),2014-07-02,2017-06-30
47285,Canterbury_Christ_Church_University,Band 6,Higher Education,Canterbury Christ Church University,Active,7/2/14 9:51,Portico eJournals (2014-2017),2014-07-02,2017-06-30
47529,Canterbury_Christ_Church_University,Band 6,Higher Education,Canterbury Christ Church University,Active,7/15/14 15:52,The Times Digital Archive (1785-2008 and rolling) 2014-2017,2014-08-01,2017-07-31
47530,Canterbury_Christ_Church_University,Band 6,Higher Education,Canterbury Christ Church University,Active,7/15/14 15:58,Jisc eCollections for Higher Education Institutions 2014-2017,2014-08-01,2017-07-31
47602,Canterbury_Christ_Church_University,Band 6,Higher Education,Canterbury Christ Church University,Active,7/18/14 9:54,EBSCO Education Databases,2014-08-01,2017-07-31
47608,Canterbury_Christ_Church_University,Band 6,Higher Education,Canterbury Christ Church University,Active,7/18/14 10:28,"The Burney Collection, 19th Century British Library Newspapers and 19th Century UK Periodicals Online Series 1 (2014 - 2017)",2014-08-01,2017-07-31
47669,Canterbury_Christ_Church_University,Band 6,Higher Education,Canterbury Christ Church University,Active,7/21/14 17:34,a-n The Artists Information Company 2014-17,2014-08-01,2017-07-31
47682,Canterbury_Christ_Church_University,Band 6,Higher Education,Canterbury Christ Church University,Active,7/22/14 13:11,Science Classic,2014-07-22,2114-06-30
47446,Cardiff_Metropolitan_University,Band 7,Higher Education,Cardiff Metropolitan University,Active,7/10/14 9:07,The Times Digital Archive (1785-2008) WHEEL 2014-2017,2014-08-01,2017-07-31
47447,Cardiff_University,Band 3,Higher Education,Cardiff University,Active,7/10/14 9:07,The Times Digital Archive (1785-2008) WHEEL 2014-2017,2014-08-01,2017-07-31
