SubscriptionId,InstitutionName,NewJiscBand,Sector,JC Institution Name,AccountStatus,OrderDate,ResourceName,SubscriptionStart,SubscriptionExpiry,AgreementName,AgreementStartDate,AgreementEndDate,LicenceType,Country,SubscriptionStatus,Agreement Type
48448.0,Aberystwyth_University,Band 6,Higher Education,Aberystwyth University,Active,2014-09-16,"OUP Online Databases package 2014-2017, for existing HE subscribers",2014-09-16,2017-08-31,Jisc Collections Oxford University Press OUP Online Products Aug 2017,2014-09-01,2017-08-31,Sublicence,Wales,Request sent,Yearly Agreement
48543.0,Aberystwyth_University,Band 6,Higher Education,Aberystwyth University,Active,2014-09-22,Oxford Journals Archive (2014-2017 for access via OUP's platform),2014-09-22,2017-07-31,Oxford Journals Jisc Collections Oxford Journal Archive July 2017,2014-08-01,2017-07-31,Sublicence,Wales,Active,Yearly Agreement
48464.0,Anglia_Ruskin_University,Band 5,Higher Education,Anglia Ruskin University,Active,2014-09-16,"OUP Online Databases package 2014-2017, for existing HE subscribers",2014-09-16,2017-08-31,Jisc Collections Oxford University Press OUP Online Products Aug 2017,2014-09-01,2017-08-31,Sublicence,England,Request sent,Yearly Agreement
48465.0,Anglia_Ruskin_University,Band 5,Higher Education,Anglia Ruskin University,Active,2014-09-16,Science Classic,2014-09-16,2114-06-30,Science Classic,2014-07-01,2114-06-30,Sublicence,England,Active,Free Agreement
48503.0,Anglia_Ruskin_University,Band 5,Higher Education,Anglia Ruskin University,Active,2014-09-18,The Times Digital Archive (1785-2008 and rolling) 2014-2017,2014-10-06,2017-07-31,Jisc Collections Cengage Times Digital Archive July 2017,2014-08-01,2017-07-31,Sublicence,England,Active,Yearly Agreement
48568.0,Aston_University,Band 6,Higher Education,Aston University,Active,2014-09-24,"OUP Online Databases package 2014-2017, for existing HE subscribers",2014-09-24,2017-08-31,Jisc Collections Oxford University Press OUP Online Products Aug 2017,2014-09-01,2017-08-31,Sublicence,England,Request sent,Yearly Agreement
48539.0,Bangor_University,Band 5,Higher Education,Bangor University,Active,2014-09-22,"OUP Online Databases package 2014-2017, for existing HE subscribers",2014-09-22,2017-08-31,Jisc Collections Oxford University Press OUP Online Products Aug 2017,2014-09-01,2017-08-31,Sublicence,Wales,Request sent,Yearly Agreement
48637.0,Bangor_University,Band 5,Higher Education,Bangor University,Active,2014-09-26,Jisc eCollections: Historical Texts and Journal Archives for HE 2014-2017,2014-09-26,2017-07-31,Jisc eCollections: Historical Texts & Journal Archives for HE 2014-17,2014-08-01,2017-07-31,Sublicence,Wales,Active,Yearly Agreement
48662.0,Bath_Spa_University,Band 8,Higher Education,Bath Spa University,Active,2014-09-29,"OUP Online Databases package 2014-2017, for existing HE subscribers",2014-09-29,2017-08-31,Jisc Collections Oxford University Press OUP Online Products Aug 2017,2014-09-01,2017-08-31,Sublicence,England,Request sent,Yearly Agreement
48429.0,Birkbeck_College,Band 7,Higher Education,Birkbeck College,Active,2014-09-15,"OUP Online Databases package 2014-2017, for existing HE subscribers",2014-09-15,2017-08-31,Jisc Collections Oxford University Press OUP Online Products Aug 2017,2014-09-01,2017-08-31,Sublicence,England,Request sent,Yearly Agreement
48618.0,Birkbeck_College,Band 7,Higher Education,Birkbeck College,Active,2014-09-25,BFI InView  (2014-18),2014-09-25,2018-08-31,HEFCE British Film Institute BFI Inview Aug 2018,2014-09-01,2018-08-31,Sublicence,England,Active,Free Agreement
48549.0,Birmingham_City_University,Band 5,Higher Education,Birmingham City University,Active,2014-09-23,Geology Digimap: 2010-2016 Agreement,2014-09-23,2016-07-31,JISC Collections Natural Environment Research Council British Geological Survey Data July 2016,2010-08-01,2016-07-31,Sublicence,England,Active,Yearly Agreement
48392.0,Bournemouth_University,Band 5,Higher Education,Bournemouth University,Active,2014-09-12,Science Classic,2014-09-12,2114-06-30,Science Classic,2014-07-01,2114-06-30,Sublicence,England,Active,Free Agreement
48611.0,Bournemouth_University,Band 5,Higher Education,Bournemouth University,Active,2014-09-25,BFI InView  (2014-18),2014-09-25,2018-08-31,HEFCE British Film Institute BFI Inview Aug 2018,2014-09-01,2018-08-31,Sublicence,England,Active,Free Agreement
48642.0,Bournemouth_University,Band 5,Higher Education,Bournemouth University,Active,2014-09-26,"OUP Online Databases package 2014-2017, for existing HE subscribers",2014-09-26,2017-08-31,Jisc Collections Oxford University Press OUP Online Products Aug 2017,2014-09-01,2017-08-31,Sublicence,England,Request sent,Yearly Agreement
48496.0,Buckinghamshire_New_University,Band 7,Higher Education,Buckinghamshire New University,Active,2014-09-17,"OUP Online Databases package 2014-2017, for existing HE subscribers",2014-09-17,2017-08-31,Jisc Collections Oxford University Press OUP Online Products Aug 2017,2014-09-01,2017-08-31,Sublicence,England,Request sent,Yearly Agreement
