SubscriptionId,InstitutionName,NewJiscBand,Sector,JC Institution Name,AccountStatus,OrderDate,ResourceName,SubscriptionStart,SubscriptionExpiry,AgreementName,AgreementStartDate,AgreementEndDate,LicenceType,Country,SubscriptionStatus,Agreement Type,Column
51317,Aberystwyth_University,Band 6,Higher Education,Aberystwyth University,Active,2015-04-28,Cambridge University Press Journals 2015,2015-04-28,2015-12-31,Cambridge University Press Journals 2015,2015-01-01,2015-12-31,Direct,Wales,Active,NESLi2 Agreement,
51103,Bath_Spa_University,Band 8,Higher Education,Bath Spa University,Active,2015-04-08,Oxford Handbooks Online For Higher Education - New Orders 2014-2017,2015-04-08,2017-08-31,Jisc Collections OUP AGreement HE August 2017,2014-09-01,2017-08-31,Sublicence,England,Active,Yearly Agreement,
51276,Birkbeck_College,Band 7,Higher Education,Birkbeck College,Active,2015-04-21,JSTOR - Arts & Sciences XIII Collection 2012-15 renewal,2015-04-21,2015-07-31,HEFCE JSTOR JSTOR Archive July 2026,2013-08-01,2015-07-31,Direct,England,Request sent,Yearly Agreement,
51277,Birkbeck_College,Band 7,Higher Education,Birkbeck College,Active,2015-04-21,JSTOR Arts & Sciences XIV Collection 2012-15 Renewal,2015-04-21,2015-07-31,Jisc Collections JSTOR July 2026 Sub Lic July 2015,2014-08-01,2015-07-31,Direct,England,Request sent,Yearly Agreement,
51143,Birmingham_City_University,Band 5B,Higher Education,Birmingham City University,Active,2015-04-15,The Times Digital Archive (1785-1985) 2014-2017,2015-04-15,2017-07-31,Jisc Collections Cengage Times Digital Archive July 2017,2014-08-01,2017-07-31,Sublicence,England,Active,Yearly Agreement,
51266,Birmingham_City_University,Band 5B,Higher Education,Birmingham City University,Active,2015-04-20,Science Classic,2015-04-20,2114-06-30,Science Classic,2014-07-01,2114-06-30,Sublicence,England,Active,Free Agreement,
51102,Bishop_Grosseteste_University_College_Lincoln,Band 10,Higher Education,Bishop Grosseteste University,Active,2015-04-07,Wiley Online Library Journals + OA Offset 2015-2017,2015-04-07,2017-12-31,Wiley Online Library Journals 2015-2017,2015-01-01,2017-12-31,Direct,England,Active,NESLi2 Agreement,
51104,Bishop_Grosseteste_University_College_Lincoln,Band 10,Higher Education,Bishop Grosseteste University,Active,2015-04-08,SAGE Knowledge eBooks Evidence Based Acquisition (EBA) Agreement,2015-04-08,2015-12-31,Jisc Collections SAGE Publications SAGE Knowledge EBA Dec 2015,2015-01-01,2015-12-31,Direct,England,Request sent,One-off Agreement,
51151,Brunel_University,Band 5B,Higher Education,Brunel University,Active,2015-04-16,Journal Negotiation Charges 2015,2015-01-01,2015-12-31,Journal transaction fees 2015 info,2015-01-01,2015-12-31,Sublicence,England,Request sent,Consortia Agreement,
51265,Brunel_University,Band 5B,Higher Education,Brunel University,Active,2015-04-17,Science Classic,2015-04-17,2114-06-30,Science Classic,2014-07-01,2114-06-30,Sublicence,England,Active,Free Agreement,
51152,Cardiff_Metropolitan_University,Band 7,Higher Education,Cardiff Metropolitan University,Active,2015-04-16,Journal Negotiation Charges 2015,2015-01-01,2015-12-31,Journal transaction fees 2015 info,2015-01-01,2015-12-31,Sublicence,Wales,Request sent,Consortia Agreement,
51153,Cardiff_University,Band 3,Higher Education,Cardiff University,Active,2015-04-16,Journal Negotiation Charges 2015,2015-01-01,2015-12-31,Journal transaction fees 2015 info,2015-01-01,2015-12-31,Sublicence,Wales,Request sent,Consortia Agreement,
51253,Cardiff_University,Band 3,Higher Education,Cardiff University,Active,2015-04-16,IOS Press SMP Ejournals 2015-2017,2015-04-16,2017-12-31,IOS Press SMP Ejournals 2015-2017,2015-01-01,2017-12-31,Direct,Wales,Active,NESLi2 Agreement,
51101,"City_University,_London",Band 5A,Higher Education,"City University, London",Active,2015-04-02,"ProQuest Archives 2014-2017 (House of Commons Parliamentary Papers, British Periodicals Collections I and II, Periodicals Archive Online: Jisc Collections Selection, Early European Books Parts 1-4, and the Vogue Archive)",2015-04-02,2017-10-31,"Jisc Collections ProQuest 18 19 20 C House of Commons Parliamentary Papers, British Periodicals Collection I & II, Periodicals Archive Online Jisc Coll Selection, Early European Books 1-4 and The Vogue Archive October 2017",2014-11-01,2017-10-31,Sublicence,England,Active,Yearly Agreement,
51297,"City_University,_London",Band 5A,Higher Education,"City University, London",Active,2015-04-23,IMechE SMP 2015-2016 offer,2015-04-23,2016-12-31,Jisc Collections SAGE IMechE SMP 2015-2016,2015-01-01,2016-12-31,Sublicence,England,Active,NESLi2 Agreement,
51154,Coventry_University,Band 5A,Higher Education,Coventry University,Active,2015-04-16,Journal Negotiation Charges 2015,2015-01-01,2015-12-31,Journal transaction fees 2015 info,2015-01-01,2015-12-31,Sublicence,England,Request sent,Consortia Agreement,
51306,Coventry_University,Band 5A,Higher Education,Coventry University,Active,2015-04-23,Science Classic,2015-04-23,2114-06-30,Science Classic,2014-07-01,2114-06-30,Sublicence,England,Active,Free Agreement,
51144,Durham_University,Band 4,Higher Education,Durham University,Active,2015-04-15,Euclid Prime Jisc Collections SMP 2015,2015-04-15,2015-12-31,Jisc Collections SMP Euclid Prime 2015,2015-01-01,2015-12-31,Direct,England,Active,NESLi2 Agreement,
51155,Durham_University,Band 4,Higher Education,Durham University,Active,2015-04-16,Journal Negotiation Charges 2015,2015-01-01,2015-12-31,Journal transaction fees 2015 info,2015-01-01,2015-12-31,Sublicence,England,Request sent,Consortia Agreement,
51312,Edge_Hill_University,Band 6,Higher Education,Edge Hill University,Active,2015-04-24,Childlink agreement - 2015 to 2017,2015-08-01,2017-07-31,JIsc Collections Childlink Agreement July 2017,2015-08-01,2017-07-31,Sublicence,England,Active,Yearly Agreement,
51157,Edinburgh_Napier_University,Band 6,Higher Education,Edinburgh Napier University,Active,2015-04-16,Journal Negotiation Charges 2015,2015-01-01,2015-12-31,Journal transaction fees 2015 info,2015-01-01,2015-12-31,Sublicence,Scotland,Request sent,Consortia Agreement,
51158,Glasgow_Caledonian_University,Band 5B,Higher Education,Glasgow Caledonian University,Active,2015-04-16,Journal Negotiation Charges 2015,2015-01-01,2015-12-31,Journal transaction fees 2015 info,2015-01-01,2015-12-31,Sublicence,Scotland,Request sent,Consortia Agreement,
