SubscriptionId,InstitutionName,NewJiscBand,Sector,JC Institution Name,AccountStatus,OrderDate,ResourceName,SubscriptionStart,SubscriptionExpiry,AgreementName,AgreementStartDate,AgreementEndDate,LicenceType,Country,SubscriptionStatus,Agreement Type
51411,Anglia_Ruskin_University,Band 5B,Higher Education,Anglia Ruskin University,Active,2015-05-11,Exact Editions: The Wire,2015-05-18,2016-02-28,JISC Collections Exact Editions Magazine Service Licence February 2016,2013-03-01,2016-02-28,Direct,England,Request sent,Yearly Agreement
51524,Bangor_University,Band 5B,Higher Education,Bangor University,Active,2015-05-26,Foreign Broadcast Information Service Daily Reports: Jisc Collections Selection: 2014-2019,2015-05-26,2019-08-31,Jisc Collections Newsbank Readex FBIS 2014-2019 HE,2014-09-01,2019-08-31,Sublicence,Wales,Active,Yearly Agreement
51357,Bath_Spa_University,Band 8,Higher Education,Bath Spa University,Active,2015-05-05,Exact Editions: The Wire,2015-05-05,2016-02-28,JISC Collections Exact Editions Magazine Service Licence February 2016,2013-03-01,2016-02-28,Direct,England,Request sent,Yearly Agreement
51414,Birkbeck_College,Band 7,Higher Education,Birkbeck College,Active,2015-05-11,Open Library of Humanities Library Partnership 2015-2017 ,2015-05-11,2018-04-30,Open Library of Humanities Library Partnership Membership Contract,2015-05-01,2018-04-30,Direct,England,Active,Yearly Agreement
51521,Birkbeck_College,Band 7,Higher Education,Birkbeck College,Active,2015-05-26,Cambridge Books Online Evidence-based Acquisition 2015,2015-08-01,2016-07-31,Cambridge Books Online Evidence Based Acquisition 2015,2015-08-01,2016-07-31,Direct,England,Request sent,Yearly Agreement
51528,Birkbeck_College,Band 7,Higher Education,Birkbeck College,Active,2015-05-27,SpringerProtocols,2015-05-27,2017-12-31,SpringerProtocols,2013-01-01,2017-12-31,Sublicence,England,Active,Free Agreement
51408,Birmingham_City_University,Band 5B,Higher Education,Birmingham City University,Active,2015-05-11,Scopus 2015 to 2020 Agreement - Annual Commitment,2015-05-11,2020-03-31,Jisc Collections Elsevier Scopus Agreement March 2020,2015-04-01,2020-03-31,Direct,England,Request sent,Yearly Agreement
51402,Bournemouth_University,Band 5B,Higher Education,Bournemouth University,Active,2015-05-08,Scopus 2015 to 2020 Agreement - Multi Year Commitment,2015-05-08,2020-03-31,Jisc Collections Elsevier Scopus Agreement March 2020,2015-04-01,2020-03-31,Direct,England,Request sent,Yearly Agreement
51369,Brunel_University,Band 5B,Higher Education,Brunel University,Active,2015-05-06,Scopus 2015 to 2020 Agreement - Multi Year Commitment,2015-05-06,2020-03-31,Jisc Collections Elsevier Scopus Agreement March 2020,2015-04-01,2020-03-31,Direct,England,Request sent,Yearly Agreement
51350,Canterbury_Christ_Church_University,Band 6,Higher Education,Canterbury Christ Church University,Active,2015-05-01,Foreign Broadcast Information Service Daily Reports: Jisc Collections Selection: 2014-2019,2015-05-01,2019-08-31,Jisc Collections Newsbank Readex FBIS 2014-2019 HE,2014-09-01,2019-08-31,Sublicence,England,Active,Yearly Agreement
