SubscriptionId,InstitutionName,NewJiscBand,Sector,JC Institution Name,AccountStatus,OrderDate,ResourceName,SubscriptionStart,SubscriptionExpiry,AgreementName,AgreementStartDate,AgreementEndDate,LicenceType,Country,SubscriptionStatus,Agreement Type
50898,Wellcome_Trust,Band 10,Higher Education,Wellcome Trust,Active,2015-03-02,IOP Journal Archive 1874-1998 (access period 2015 to 2019),2015-03-02,2019-12-31,Jisc Collections Institute of Physics IOP Archive Dec 2019,2015-01-01,2019-12-31,Direct,England,Request sent,Free Agreement
50925,University_of_Winchester,Band 8,Higher Education,University of Winchester,Active,2015-03-04,SAGE Premier Jisc Collections 2015-16 Journals Agreement,2015-03-04,2016-12-31,Jisc Collections SAGE Premier agreement 2015-16,2015-01-01,2016-12-31,Sublicence,England,Active,NESLi2 Agreement
51006,University_of_Winchester,Band 8,Higher Education,University of Winchester,Active,2015-03-14,JSTOR Arts & Sciences XIV Collection 2012-15 Renewal,2015-03-14,2015-07-31,Jisc Collections JSTOR July 2026 Sub Lic July 2015,2014-08-01,2015-07-31,Direct,England,Request sent,Yearly Agreement
51073,University_of_Winchester,Band 8,Higher Education,University of Winchester,Active,2015-03-26,Very Short Introductions For Higher Education - New Orders 2014-2017,2015-03-26,2017-08-31,Jisc Collections OUP Agreement HE August 2017,2014-09-01,2017-08-31,Sublicence,England,Request sent,Yearly Agreement
50900,University_of_Wales_Trinity_St_David,Band 7,Higher Education,University of Wales Trinity St David,Suspended,2015-03-02,IOP Journal Archive 1874-1998 (access period 2015 to 2019),2015-03-02,2019-12-31,Jisc Collections Institute of Physics IOP Archive Dec 2019,2015-01-01,2019-12-31,Direct,Wales,Request sent,Free Agreement
50969,University_of_Ulster,Band 5A,Higher Education,University of Ulster,Active,2015-03-11,IMechE SMP 2015-2016 offer,2015-03-11,2016-12-31,Jisc Collections SAGE IMechE SMP 2015-2016,2015-01-01,2016-12-31,Sublicence,Northern Ireland,Active,NESLi2 Agreement
50916,University_of_the_West_of_England,Band 5A,Higher Education,University of the West of England,Active,2015-03-03,Digimap Ordnance Survey Collection�  2014-2016,2015-03-03,2016-07-31,Digimap Main HE and FE Licence with End User Licence Agreement 2014,2014-08-01,2016-07-31,Sublicence,England,Active,Yearly Agreement
50950,University_of_the_West_of_England,Band 5A,Higher Education,University of the West of England,Active,2015-03-10,Oxford University Press Journals '2015 Full Collection' offer 2015-2017,2015-03-10,2017-12-31,Oxford Journals 2015 Full Collection 2015-17,2015-01-01,2017-12-31,Sublicence,England,Active,NESLi2 Agreement
50932,University_of_the_Highlands_and_Islands,Band 7,Higher Education,University of the Highlands and Islands,Active,2015-03-04,Nature Publishing Group Journals 2015,2015-03-04,2015-12-31,Nature Publishing Group Journals 2015,2015-01-01,2015-12-31,Sublicence,Scotland,Active,NESLi2 Agreement
51066,University_of_the_Highlands_and_Islands,Band 7,Higher Education,University of the Highlands and Islands,Active,2015-03-26,ProQuest UK and Ireland Historical Newspaper Collection (formerly ProQuest Historical Newspapers),2015-04-01,2016-07-31,Jisc Collections ProQuest ProQuest UK & Ireland Historical Newspaper Collection,2013-08-01,2016-07-31,Sublicence,Scotland,Active,Yearly Agreement
50921,University_of_Strathclyde,Band 4,Higher Education,University of Strathclyde,Active,2015-03-04,IOP Journal Archive 1874-1998 (access period 2015 to 2019),2015-03-04,2019-12-31,Jisc Collections Institute of Physics IOP Archive Dec 2019,2015-01-01,2019-12-31,Direct,Scotland,Request sent,Free Agreement
51003,University_of_St_Andrews,Band 5B,Higher Education,University of St Andrews,Active,2015-03-13,EDP Sciences Journals Collection Jisc Collections SMP 2015,2015-03-13,2015-12-31,Jisc Collections EDP Sciences Journals agreement 2015,2015-01-01,2015-12-31,Direct,Scotland,Active,NESLi2 Agreement
50896,University_of_Southampton,Band 3,Higher Education,University of Southampton,Active,2015-03-02,IMechE SMP 2015-2016 offer,2015-03-02,2016-12-31,Jisc Collections SAGE IMechE SMP 2015-2016,2015-01-01,2016-12-31,Sublicence,England,Active,NESLi2 Agreement
50897,University_of_Southampton,Band 3,Higher Education,University of Southampton,Active,2015-03-02,IOP Journal Archive 1874-1998 (access period 2015 to 2019),2015-03-02,2019-12-31,Jisc Collections Institute of Physics IOP Archive Dec 2019,2015-01-01,2019-12-31,Direct,England,Request sent,Free Agreement
50968,University_of_South_Wales,Band 5B,Higher Education,University of South Wales,Active,2015-03-11,Digimap Ordnance Survey Collection�  2014-2016,2015-03-11,2016-07-31,Digimap Main HE and FE Licence with End User Licence Agreement 2014,2014-08-01,2016-07-31,Sublicence,Wales,Active,Yearly Agreement
50908,University_of_Sheffield,Band 3,Higher Education,University of Sheffield,Active,2015-03-02,IOP Journal Archive 1874-1998 (access period 2015 to 2019),2015-03-02,2019-12-31,Jisc Collections Institute of Physics IOP Archive Dec 2019,2015-01-01,2019-12-31,Direct,England,Request sent,Free Agreement
50994,University_of_Sheffield,Band 3,Higher Education,University of Sheffield,Active,2015-03-12,De Gruyter Online Journal Archive,2015-03-12,2018-05-09,JISC Collections Walter de Gruyter Online Journals Archive 9 May 2018 ,2013-05-10,2018-05-09,Direct,England,Request sent,One-off Agreement
50923,University_of_Reading,Band 5A,Higher Education,University of Reading,Active,2015-03-04,Cambridge University Press Journals 2015,2015-03-04,2015-12-31,Cambridge University Press Journals 2015,2015-01-01,2015-12-31,Direct,England,Request sent,NESLi2 Agreement
50933,University_of_Reading,Band 5A,Higher Education,University of Reading,Active,2015-03-05,Oxford University Press Journals '2015 Full Collection' offer 2015-2017,2015-03-05,2017-12-31,Oxford Journals 2015 Full Collection 2015-17,2015-01-01,2017-12-31,Sublicence,England,Active,NESLi2 Agreement
50946,University_of_Reading,Band 5A,Higher Education,University of Reading,Active,2015-03-09,Oxford Journals Archive (2014-2017 for access via OUP's platform),2015-03-09,2017-07-31,Oxford Journals Jisc Collections Oxford Journal Archive July 2017,2014-08-01,2017-07-31,Sublicence,England,Active,Yearly Agreement
51037,University_of_Reading,Band 5A,Higher Education,University of Reading,Active,2015-03-19,Digimap Ordnance Survey Collection�  2014-2016,2015-03-19,2016-07-31,Digimap Main HE and FE Licence with End User Licence Agreement 2014,2014-08-01,2016-07-31,Sublicence,England,Active,Yearly Agreement
50906,University_of_Oxford,Band 1,Higher Education,University of Oxford,Active,2015-03-02,Digimap Ordnance Survey Collection�  2014-2016,2015-03-02,2016-07-31,Digimap Main HE and FE Licence with End User Licence Agreement 2014,2014-08-01,2016-07-31,Sublicence,England,Active,Yearly Agreement
50943,University_of_Oxford,Band 1,Higher Education,University of Oxford,Active,2015-03-09,Edinburgh University Press (EUP) Journals SMP Agreement - 2015,2015-03-09,2015-12-31,Jisc Collections EUP Journals SMP Dec 2015,2015-01-01,2015-12-31,Direct,England,Active,NESLi2 Agreement
51013,University_of_Northampton,Band 6,Higher Education,University of Northampton,Active,2015-03-17,SAGE Premier Jisc Collections 2015-16 Journals Agreement,2015-03-17,2016-12-31,Jisc Collections SAGE Premier agreement 2015-16,2015-01-01,2016-12-31,Sublicence,England,Active,NESLi2 Agreement
50930,University_of_Manchester,Band 1,Higher Education,University of Manchester,Active,2015-03-04,Cambridge Companions Online (CCO) - Complete Collection 2015-2018,2015-03-04,2018-01-08,Jisc Collections CUP Cambridge Companions Online Jan 2018,2015-01-09,2018-01-08,Sublicence,England,Active,Yearly Agreement
50965,University_of_Manchester,Band 1,Higher Education,University of Manchester,Active,2015-03-11,BioMed Central and SpringerOpen Supporter Membership 2015,2015-03-11,2015-12-31,Jisc Collections BioMed Central & SpringerOpen OA Membership Dec 2015,2015-01-01,2015-12-31,Direct,England,Request sent,Yearly Agreement
50909,University_of_Liverpool,Band 3,Higher Education,University of Liverpool,Active,2015-03-02,IOP Journal Archive 1874-1998 (access period 2015 to 2019),2015-03-02,2019-12-31,Jisc Collections Institute of Physics IOP Archive Dec 2019,2015-01-01,2019-12-31,Direct,England,Request sent,Free Agreement
50920,University_of_Leeds,Band 2,Higher Education,University of Leeds,Active,2015-03-03,IMechE SMP 2015-2016 offer,2015-03-03,2016-12-31,Jisc Collections SAGE IMechE SMP 2015-2016,2015-01-01,2016-12-31,Sublicence,England,Active,NESLi2 Agreement
50975,University_of_Kent,Band 5B,Higher Education,University of Kent,Active,2015-03-11,SAGE Premier Jisc Collections 2015-16 Journals Agreement,2015-03-11,2016-12-31,Jisc Collections SAGE Premier agreement 2015-16,2015-01-01,2016-12-31,Sublicence,England,Active,NESLi2 Agreement
51040,University_of_Kent,Band 5B,Higher Education,University of Kent,Active,2015-03-19,Science Classic,2015-03-19,2114-06-30,Science Classic,2014-07-01,Invalid Date,Sublicence,England,Active,Free Agreement
50993,University_of_Hull,Band 5B,Higher Education,University of Hull,Active,2015-03-12,IOP Journal Archive 1874-1998 (access period 2015 to 2019),2015-03-12,2019-12-31,Jisc Collections Institute of Physics IOP Archive Dec 2019,2015-01-01,2019-12-31,Direct,England,Request sent,Free Agreement
50934,University_of_Hertfordshire,Band 4,Higher Education,University of Hertfordshire,Active,2015-03-05,IOP Journal Archive 1874-1998 (access period 2015 to 2019),2015-03-05,2019-12-31,Jisc Collections Institute of Physics IOP Archive Dec 2019,2015-01-01,2019-12-31,Direct,England,Request sent,Free Agreement
50935,University_of_Hertfordshire,Band 4,Higher Education,University of Hertfordshire,Active,2015-03-05,IOP Publishing Jisc Collections 2015 agreement - Option 1,2015-03-05,2015-12-31,IOP Publishing Jisc Collections 2015 agreement - Option 1,2015-01-01,2015-12-31,Direct,England,Active,NESLi2 Agreement
50942,University_of_Hertfordshire,Band 4,Higher Education,University of Hertfordshire,Active,2015-03-06,Digimap Ordnance Survey Collection�  2014-2016,2015-03-06,2016-07-31,Digimap Main HE and FE Licence with End User Licence Agreement 2014,2014-08-01,2016-07-31,Sublicence,England,Active,Yearly Agreement
51042,University_of_Hertfordshire,Band 4,Higher Education,University of Hertfordshire,Active,2015-03-20,IOP Journal Archive 1999-2006 outright purchase,2015-03-20,2100-06-30,JISC Collections IOP Publishing Ltd IOP Journals Archive (1999-2006) June 2012,2012-07-01,2100-06-30,Direct,England,Request sent,One-off Agreement
51045,University_of_Hertfordshire,Band 4,Higher Education,University of Hertfordshire,Active,2015-03-24,BMJ Journals Agreement 2015-2016,2015-03-24,2016-12-31,Jisc Collections BMJ Journals Dec 2016,2015-01-01,2016-12-31,Direct,England,Active,NESLi2 Agreement
50996,University_of_Gloucestershire,Band 7,Higher Education,University of Gloucestershire,Active,2015-03-13,Digimap Ordnance Survey Collection�  2014-2016,2015-03-13,2016-07-31,Digimap Main HE and FE Licence with End User Licence Agreement 2014,2014-08-01,2016-07-31,Sublicence,England,Active,Yearly Agreement
50922,University_of_Exeter,Band 4,Higher Education,University of Exeter,Active,2015-03-04,IOP Journal Archive 1874-1998 (access period 2015 to 2019),2015-03-04,2019-12-31,Jisc Collections Institute of Physics IOP Archive Dec 2019,2015-01-01,2019-12-31,Direct,England,Request sent,Free Agreement
51012,University_of_Exeter,Band 4,Higher Education,University of Exeter,Active,2015-03-16,Annual Reviews Journals 2015-2017 Agreement,2015-03-16,2017-12-31,Jisc Collections Annual Reviews Journal Agreement Dec 2017,2015-01-01,2017-12-31,Sublicence,England,Active,NESLi2 Agreement
50911,University_of_Edinburgh,Band 2,Higher Education,University of Edinburgh,Active,2015-03-02,Digimap Ordnance Survey Collection�  2014-2016,2015-03-02,2016-07-31,Digimap Main HE and FE Licence with End User Licence Agreement 2014,2014-08-01,2016-07-31,Sublicence,Scotland,Active,Yearly Agreement
50990,University_of_Edinburgh,Band 2,Higher Education,University of Edinburgh,Active,2015-03-12,JSTOR - Arts & Sciences XIII Collection 2012-15 renewal,2015-03-12,2015-07-31,HEFCE JSTOR JSTOR Archive July 2026,2013-08-01,2015-07-31,Direct,Scotland,Request sent,Yearly Agreement
50991,University_of_Edinburgh,Band 2,Higher Education,University of Edinburgh,Active,2015-03-12,JSTOR Arts & Sciences XIV Collection 2012-15 Renewal,2015-03-12,2015-07-31,Jisc Collections JSTOR July 2026 Sub Lic July 2015,2014-08-01,2015-07-31,Direct,Scotland,Request sent,Yearly Agreement
51010,University_of_Edinburgh,Band 2,Higher Education,University of Edinburgh,Active,2015-03-16,Cairn Collections 2014 - 2017,2015-03-16,2016-12-31,Jisc Collections Cairn Cairn Collections 2014-2017,2014-01-01,2016-12-31,Direct,Scotland,Request sent,Yearly Agreement
51036,University_of_East_London,Band 5B,Higher Education,University of East London,Active,2015-03-19,Digimap Ordnance Survey Collection�  2014-2016,2015-03-19,2016-07-31,Digimap Main HE and FE Licence with End User Licence Agreement 2014,2014-08-01,2016-07-31,Sublicence,England,Active,Yearly Agreement
