org_id,org_name,org_shortcode
"389","Aberystwyth University","Aberystwyth_University"
"390","Anglia Ruskin University","Anglia_Ruskin_University"
"391","Aston University","Aston_University"
"637","BIBSAM","BIBSAM"
"392","Bangor University","Bangor_University"
"393","Bath Spa University","Bath_Spa_University"
"394","Birkbeck College","Birkbeck_College"
"395","Birmingham City University","Birmingham_City_University"
"396","Bishop Grosseteste University College Lincoln","Bishop_Grosseteste_University_College_Lincoln"
"397","Bournemouth University","Bournemouth_University"
"398","Brunel University","Brunel_University"
"399","Buckinghamshire New University","Buckinghamshire_New_University"
"1047","Cancer Research UK (CRUK)","Cancer_Research_UK_(CRUK)"
"400","Canterbury Christ Church University","Canterbury_Christ_Church_University"
"401","Cardiff Metropolitan University","Cardiff_Metropolitan_University"
"402","Cardiff University","Cardiff_University"
"403","Central School of Speech and Drama","Central_School_of_Speech_and_Drama"
"404","City University, London","City_University,_London"
"405","Conservatoire for Dance and Drama","Conservatoire_for_Dance_and_Drama"
"406","Courtauld Institute of Art","Courtauld_Institute_of_Art"
"407","Coventry University","Coventry_University"
"408","Cranfield University","Cranfield_University"
"409","De Montfort University","De_Montfort_University"
"410","Durham University","Durham_University"
"411","Edge Hill University","Edge_Hill_University"
"413","Edinburgh Napier University","Edinburgh_Napier_University"
"414","Glasgow Caledonian University","Glasgow_Caledonian_University"
"415","Glasgow School of Art","Glasgow_School_of_Art"
"416","Glyndwr University","Glyndwr_University"
"417","Goldsmiths College, University of London","Goldsmiths_College,_University_of_London"
"418","Guildhall School of Music and Drama","Guildhall_School_of_Music_and_Drama"
"419","Harper Adams University College","Harper_Adams_University_College"
"420","Heriot-Watt University","Heriot-Watt_University"
"421","Imperial College London","Imperial_College_London"
"422","Institute of Education","Institute_of_Education"
"35","JISC Collections","JISC_Collections"
"423","Keele University","Keele_University"
"424","King's College London","King's_College_London"
"425","Kingston University","Kingston_University"
"606","Kungliga biblioteket","Kungliga_biblioteket"
"426","Lancaster University","Lancaster_University"
"427","Leeds College of Music","Leeds_College_of_Music"
"428","Leeds Metropolitan University","Leeds_Metropolitan_University"
"429","Leeds Trinity & All Saints","Leeds_Trinity_&_All_Saints"
"430","Liverpool Hope University","Liverpool_Hope_University"
