Subscription ID,Subscription URL,Subscription Name,Swets Subscription Number,Subscription Start Date,Subscription End Date
11311,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11311,SWETS: Sociological Research Online - Internet,17037266,2014-01-01,2014-12-31
11312,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11312,SWETS: New England Journal of Medicine - Tier 4B - Academic Clinical Site License - Internet,28449803,2014-01-08,2015-07-31
11313,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11313,SWETS: Gerontologist - Internet,28810115,2014-01-01,2014-12-31
11314,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11314,SWETS: Generations - San Francisco - Internet,28811715,2014-01-01,2014-12-31
11315,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11315,SWETS: Psychology Crime and Law - Internet,29785904,2014-01-01,2014-12-31
11316,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11316,SWETS: Acta Crystallographica - Sections A & B & C & D & E & F - Internet,36185038,2014-01-01,2014-12-31
11317,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11317,SWETS: eHRAF World Cultures - Member Institution - Library budget over US$ 5 million - Internet,36185224,2014-01-07,2015-06-30
11318,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11318,SWETS: RNA - Tier 4 - Internet,36185356,2014-01-01,2014-12-31
11319,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11319,SWETS: Criminology Package - Online Only - Internet,37314184,2014-01-01,2014-12-31
11320,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11320,SWETS: Comparative Education Review - Large Higher Education - Internet,37452684,2014-01-01,2014-12-31
11321,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11321,SWETS: European Educational Research Journal - Internet,38763403,2014-01-01,2014-12-31
11322,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11322,SWETS: E-Learning and Digital Media - Internet,38777901,2014-01-01,2014-12-31
11323,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11323,SWETS: Journal of the Learning Sciences - Internet,38777927,2014-01-01,2014-12-31
11324,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11324,SWETS: Research in Comparative and International Education - Internet,38777935,2014-01-01,2014-12-31
11325,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11325,SWETS: BEB - International Journal of Bilingual Education and Bilingualism - Internet,38777943,2014-01-01,2014-12-31
11326,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11326,SWETS: Language Speech and Hearing Services in Schools - Internet,39061305,2014-01-01,2014-12-31
11327,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11327,SWETS: Journal of Poverty and Social Justice - Internet,39176145,2014-01-01,2014-12-31
11328,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11328,SWETS: International Journal of Modern Physics B - Internet,39772554,2014-01-01,2014-12-31
11329,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11329,SWETS: Ecology - Ecological Society of America - Single Site - Large - 3000+ FTE's - Internet,40084674,2014-01-01,2014-12-31
11330,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11330,SWETS: Africa - Journal Internat African Institute - Internet & Africa Bibliography - Internet,40169190,2014-01-01,2014-12-31
11331,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11331,SWETS: African Arts - Internet,40169220,2014-01-01,2014-12-31
11332,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11332,SWETS: Journal of African Cultural Studies - Internet,40169238,2014-01-01,2014-12-31
11333,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11333,SWETS: Journal of Cold War Studies - Internet,40234472,2014-01-01,2014-12-31
11334,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11334,SWETS: Home Cultures - Internet,41384672,2014-01-01,2014-12-31
11335,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11335,SWETS: Journal of Eastern African Studies - Internet,42742563,2014-01-01,2014-12-31
