publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_url,first_author,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,identifier.jusp,hybrid_oa
"Art Design and Communication in Higher Education","1474-273X","2040-0896",2002-01-01,1,1,,,,"http://www.ingentaconnect.com/content/intellect/adche",,"","","fulltext","","","","null"
"Creative Industries Journal","1751-0694","1751-0708",2008-01-01,1,1,2013-12-31,6,2,"http://www.ingentaconnect.com/content/intellect/cij",,"","","fulltext","Trasnsfer out 2014: receiving publisher Taylor and Francis","","","null"
"European Journal of American Culture","1466-0407","1758-9118",2001-01-01,20,1,,,,"http://www.ingentaconnect.com/content/intellect/ejac",,"","","fulltext","","","","null"
"Film International","1651-6826","2040-3801",2003-01-01,1,1,,,,"http://www.ingentaconnect.com/content/intellect/fint",,"","","fulltext","","","","null"
"Film Matters","2042-1869","2042-1877",2010-01-01,1,1,,,,"http://www.ingentaconnect.com/content/intellect/fm",,"","","fulltext","","","","null"
"Interactions: Studies in Communication & Culture","1757-2681","1757-269X",2009-01-01,1,1,,,,"http://www.ingentaconnect.com/content/intellect/iscc",,"","","fulltext","","","","null"
"International Journal of Community Music","1752-6299","1752-6302",2007-01-01,1,1,,,,"http://www.ingentaconnect.com/content/intellect/ijcm",,"","","fulltext","","","","null"
"International Journal of Digital Television","2040-4182","2040-4190",2010-01-01,1,1,,,,"http://www.ingentaconnect.com/content/intellect/jdtv",,"","","fulltext","","","","null"
"International Journal of Education Through Art","1743-5234","2040-090X",2005-01-01,1,1,,,,"http://www.ingentaconnect.com/content/intellect/eta",,"","","fulltext","","","","null"
"International Journal of Francophone Studies","1368-2679","1758-9142",2001-01-01,4,1,,,,"http://www.ingentaconnect.com/content/intellect/ijfs",,"","","fulltext","","","","null"
"International Journal of Iberian Studies","1364-971X","1758-9150",2001-01-01,14,1,,,,"http://www.ingentaconnect.com/content/intellect/ijis",,"","","fulltext","","","","null"
"International Journal of Media and Cultural Politics","1740-8296","2040-0918",2005-01-01,1,1,,,,"http://www.ingentaconnect.com/content/intellect/mcp",,"","","fulltext","","","","null"
"International Journal of Performance Arts and Digital Media","1479-4713","2040-0934",2005-01-01,1,1,2013-08-30,9,2,"http://www.ingentaconnect.com/content/intellect/padm",,"","","fulltext","Transfert out : new publisher Taylor and Francis","","","null"
"Journal of Applied Arts & Health","2040-2457","2040-2465",2010-01-01,1,1,,,,"http://www.ingentaconnect.com/content/intellect/jaah",,"","","fulltext","","","","null"
"Journal of Gaming & Virtual Worlds","1757-191X","1757-1928",2009-01-01,1,1,,,,"http://www.ingentaconnect.com/content/intellect/jgvw",,"","","fulltext","","","","null"
"Journal of Media Practice","1468-2753","2040-0926",2001-01-01,2,1,2013-12-01,14,4,"http://www.ingentaconnect.com/content/intellect/jmp",,"","","fulltext","Transfert out : new publisher Taylor and Francis","","","null"
"Journal of Music Technology and Education","1752-7066","1752-7074",2007-01-01,1,1,,,,"http://www.ingentaconnect.com/content/intellect/jmte",,"","","fulltext","","","","null"
"Journal of Screenwriting","1759-7137","1759-7145",2010-01-01,1,1,,,,"http://www.ingentaconnect.com/content/intellect/josc",,"","","fulltext","","","","null"
"Journal of Visual Art Practice","1470-2029","1758-9185",2001-01-01,1,1,2013-12-31,12,2,"http://www.ingentaconnect.com/content/intellect/jvap",,"","","fulltext","Transfert out : new publisher Taylor and Francis","","","null"
"New Cinemas","1474-2756","2040-0578",2002-01-01,1,1,,,,"http://www.ingentaconnect.com/content/intellect/nc",,"","","fulltext","","","","null"
"Studies in Australasian Cinema","1750-3175","1750-3183",2007-01-01,1,1,,,,"http://www.ingentaconnect.com/content/intellect/sac",,"","","fulltext","","","","null"
"Studies in Documentary Film","1750-3280","1750-3299",2007-01-01,1,1,2013-09-30,7,3,"http://www.ingentaconnect.com/content/intellect/sdf",,"","","fulltext","Transfert out : new publisher Taylor and Francis","","","null"
"Studies in European Cinema","1741-1548","2040-0594",2004-01-01,1,1,2013-12-31,4,2,"http://www.ingentaconnect.com/content/intellect/sec",,"","","fulltext","Transfert out : new publisher Taylor and Francis","","","null"
"Studies in French Cinema","1471-5880","1758-9517",2001-01-01,1,,2013-12-31,13,3,"http://www.ingentaconnect.com/content/intellect/sfc",,"","","fulltext","Transfert out : new publisher Taylor and Francis","","","null"
"Studies in Hispanic Cinema","1478-0488","2040-0608",2006-01-01,3,,2012-12-31,9,2,"http://www.ingentaconnect.com/content/intellect/shc",,"","","fulltext","Change name to Studies in Spanish & Latin American Cinemas ","","","null"
