publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_url,first_author,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,identifier.jusp,hybrid_oa
"Centralblatt fur das Gesamte Forstwesen,0379-5292,"""",,,,,,,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,"""","""",fulltext,"""","""","""",null,/swets/package-files/kbplus_pkg_1284.csv
"European Journal for Philosophy of Religion,1689-8311,"""",,,,,,,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,"""","""",fulltext,"""","""","""",null,/swets/package-files/kbplus_pkg_1285.csv
"Journal of Neurosurgery,0022-3085,1933-0693,,,,,,,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,"""","""",fulltext,"""","""","""",null,/swets/package-files/kbplus_pkg_1289.csv
"Journal of Neurosurgery: Spine,1547-5654,1547-5646,,,,,,,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,"""","""",fulltext,"""","""","""",null,/swets/package-files/kbplus_pkg_1289.csv
"Journal of Neurosurgery: Pediatrics,1933-0707,1933-0715,,,,,,,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,"""","""",fulltext,"""","""","""",null,/swets/package-files/kbplus_pkg_1289.csv
"China Media Research,1556-889X,1932-3476,,,,,,,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,"""","""",fulltext,"""","""","""",null,/swets/package-files/kbplus_pkg_1290.csv
"Choice Reviews Online,1523-8253,"""",,,,,,,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,"""","""",fulltext,"""","""","""",null,/swets/package-files/kbplus_pkg_1294.csv
"Blood,1528-0020,"""",,,,,,,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,"""","""",fulltext,"""","""","""",null,/swets/package-files/kbplus_pkg_1298.csv
"Journal of the American Society of Nephrology,1533-3450,"""",,,,,,,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,"""","""",fulltext,"""","""","""",null,/swets/package-files/kbplus_pkg_1299.csv
"Investigative Ophthalmology and Visual Science,1552-5783,"""",,,,,,,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,"""","""",fulltext,"""","""","""",null,/swets/package-files/kbplus_pkg_1301.csv
"Ancient History Bulletin,1700-3334,"""",,,,,,,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,"""","""",fulltext,"""","""","""",null,/swets/package-files/kbplus_pkg_1302.csv
"Mathematics Teaching  incorporating Micromath,0025-5785,"""",,,,,,,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,"""","""",fulltext,"""","""","""",null,/swets/package-files/kbplus_pkg_1303.csv
"ASP Conference Series  Astronomical Society of the Pacific,1050-3390,"""",,,,,,,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,"""","""",fulltext,"""","""","""",null,/swets/package-files/kbplus_pkg_1304.csv
"Critical Reviews in Immunology,2162-6472,"""",,,,,,,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,"""","""",fulltext,"""","""","""",null,/swets/package-files/kbplus_pkg_1305.csv
"Current Gene Therapy,1875-5631,"""",,,,,,,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,"""","""",fulltext,"""","""","""",null,/swets/package-files/kbplus_pkg_1306.csv
"Sacris Erudiri,0771-7776,"""",,,,,,,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,"""","""",fulltext,"""","""","""",null,/swets/package-files/kbplus_pkg_1307.csv
"Mediaeval Journal,2033-5393,"""",,,,,,,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,"""","""",fulltext,"""","""","""",null,/swets/package-files/kbplus_pkg_1307.csv
"Nottingham Medieval Studies,0078-2122,"""",,,,,,,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,"""","""",fulltext,"""","""","""",null,/swets/package-files/kbplus_pkg_1307.csv
"Journal of Medieval Monastic Studies,2034-3523,"""",,,,,,,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,"""","""",fulltext,"""","""","""",null,/swets/package-files/kbplus_pkg_1307.csv
"Medieval Low Countries,2295-3493,"""",,,,,,,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,"""","""",fulltext,"""","""","""",null,/swets/package-files/kbplus_pkg_1307.csv
"Discussion Papers of the CEPR,1442-8636,"""",,,,,,,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,"""","""",fulltext,"""","""","""",null,/swets/package-files/kbplus_pkg_1308.csv
"Voprosy Iazykovogo Rodstva,1998-6769,"""",,,,,,,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,"""","""",fulltext,"""","""","""",null,/swets/package-files/kbplus_pkg_1310.csv
"Journal of Cardiovascular Surgery,1827-191X,"""",,,,,,,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,"""","""",fulltext,"""","""","""",null,/swets/package-files/kbplus_pkg_1311.csv
"Nuova Rivista di Letteratura Italiana,1590-7929,"""",,,,,,,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,"""","""",fulltext,"""","""","""",null,/swets/package-files/kbplus_pkg_1312.csv
"Human Geography,1942-7786,"""",,,,,,,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,"""","""",fulltext,"""","""","""",null,/swets/package-files/kbplus_pkg_1315.csv
"Journal of the Canadian Society for Coptic Studies,2165-0756,"""",,,,,,,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,"""","""",fulltext,"""","""","""",null,/swets/package-files/kbplus_pkg_1317.csv
"World Studies in Education,2201-0629,"""",,,,,,,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,"""","""",fulltext,"""","""","""",null,/swets/package-files/kbplus_pkg_1318.csv
"""Journal of Bone & Joint Surgery, American Volume"",0021-9355,"""",,,,,,,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,"""","""",fulltext,"""",Journal of Bone & Joint Surgery,"""",null,/swets/package-files/kbplus_pkg_1320.csv
"JBJS case connector,2160-3251,"""",,,,,,,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,"""","""",fulltext,"""","""","""",null,/swets/package-files/kbplus_pkg_1320.csv
"Essential Surgical Techniques,2160-2204,"""",,,,,,,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,"""","""",fulltext,"""","""","""",null,/swets/package-files/kbplus_pkg_1320.csv
"""Journal of Bone & Joint Surgery, British Volume"",0301-620X,2044-5377,,,,,,,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,"""","""",fulltext,"""",British Editorial Society of Bone and Joint Surgery,"""",null,/swets/package-files/kbplus_pkg_1320.csv
"N Paradoxa  International Feminist Art Journal,1461-0434,1461-0426,,,,,,,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,"""","""",fulltext,"""","""","""",null,/swets/package-files/kbplus_pkg_1321.csv
"Phytotaxa,1179-3163,"""",,,,,,,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,"""","""",fulltext,"""","""","""",null,/swets/package-files/kbplus_pkg_1322.csv
"Journal of Geoscience Education,1089-9995,2158-1428,,,,,,,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,"""","""",fulltext,"""","""","""",null,/swets/package-files/kbplus_pkg_1326.csv
"NBER Working Paper Series,0898-2937,"""",,,,,,,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,"""","""",fulltext,"""","""","""",null,/swets/package-files/kbplus_pkg_1327.csv
"Journal of the Oxford Centre for Buddhist Studies,2047-1076,"""",,,,,,,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,"""","""",fulltext,"""","""","""",null,/swets/package-files/kbplus_pkg_1329.csv
"Journal of Clinical Psychiatry,1555-2101,"""",,,,,,,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,"""","""",fulltext,"""","""","""",null,/swets/package-files/kbplus_pkg_1330.csv
"Annals of the Royal College of Surgeons of England,1478-7083,"""",,,,,,,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,"""","""",fulltext,"""","""","""",null,/swets/package-files/kbplus_pkg_1332.csv
"Longitudinal and Life Course Studies,1757-9597,"""",,,,,,,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,"""","""",fulltext,"""","""","""",null,/swets/package-files/kbplus_pkg_1333.csv
"Optical Engineering,1560-2303,"""",,,,,,,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,"""","""",fulltext,"""","""","""",null,/swets/package-files/kbplus_pkg_1335.csv
"Telos - New York,1940-459X,"""",,,,,,,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,"""","""",fulltext,"""","""","""",null,/swets/package-files/kbplus_pkg_1336.csv
"Carl Beck Papers in Russian and East European Studies,0889-275X,"""",,,,,,,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,"""","""",fulltext,"""","""","""",null,/swets/package-files/kbplus_pkg_1342.csv
"Jahrbuch der Osterreichischen Byzantinistik,1810-536X,"""",,,,,,,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,"""","""",fulltext,"""","""","""",null,/swets/package-files/kbplus_pkg_1344.csv
"Bibliographie der Deutschen Sprach und Literaturwissenschaft,0341-9363,1868-6389,,,,,,,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,"""","""",fulltext,"""","""","""",null,/swets/package-files/kbplus_pkg_1345.csv
"Zeitschrift fur philosophische Forschung,0044-3301,"""",,,,,,,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,"""","""",fulltext,"""","""",14173,null,/swets/package-files/kbplus_pkg_1345.csv
"Philosophia Naturalis,1439-2607,"""",,,,,,,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,"""","""",fulltext,"""","""","""",null,/swets/package-files/kbplus_pkg_1345.csv
"Acupuncture in Medicine,0964-5284,1759-9873,1982-01-01,1,1,,,,http://aim.bmj.com/,,"""","""",fulltext,"""",BMJ,7553,null,/swets/package-files/kbplus_pkg_315.csv
"Annals of the Rheumatic Diseases,0003-4967,1468-2060,1939-01-01,1,1,,,,http://ard.bmj.com/,,"""","""",fulltext,"""",BMJ/EULAR,7554,null,/swets/package-files/kbplus_pkg_315.csv
"Archives of Disease in Childhood,0003-9888,1468-2044,1926-01-01,1,1,,,,http://adc.bmj.com/,,"""","""",fulltext,"""",BMJ/Royal College of Paediatrics and Child Health,7555,null,/swets/package-files/kbplus_pkg_315.csv
"Archives of Disease in Childhood: Education & Practice edition,1743-0585,1743-0593,2004-06-01,89,1,,,,http://ep.bmj.com/,,"""","""",fulltext,"""",BMJ,7556,null,/swets/package-files/kbplus_pkg_315.csv
