Provider,Johns Hopkins University Press
Package Identifier,Master
Package Name,Johns Hopkins University Press:Master
Agreement Term Start Year,01/01/2014
Agreement Term End Year,31/12/2100
Consortium,""
publication_title,ID.issn,ID.eissn,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,embargo_info,coverage_depth,coverage_notes,publisher_name,ID.doi,platform.host.name,platform.host.url,platform.administrative.name,platform.administrative.url,hybrid_oa,access_start_date,access_end_date
The Journal of Higher Education,0022-1546,1538-4640,,,,,,,,fulltext,,,,Johns Hopkins University Press,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,,,,
African American Review,1062-4783,1945-6182,,,,,,,,fulltext,,,,Johns Hopkins University Press,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,,,,
The American Indian Quarterly,0095-182X,1534-1828,,,,,,,,fulltext,,,,Johns Hopkins University Press,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,,,,
American Jewish History,0164-0178,1086-3141,,,,,,,,fulltext,,,,Johns Hopkins University Press,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,,,,
Journal of Asian American Studies,1097-2129,1096-8598,,,,,,,,fulltext,,,,Johns Hopkins University Press,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,,,,
Southern Cultures,1068-8218,1534-1488,,,,,,,,fulltext,,,,Johns Hopkins University Press,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,,,,
Bulletin of the History of Medicine,0007-5140,1086-3176,,,,,,,,fulltext,,,,Johns Hopkins University Press,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,,,,
"American Periodicals: A Journal of History, Criticism, and Bibliography",1054-7479,1548-4238,,,,,,,,fulltext,,,,Johns Hopkins University Press,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,,,,
Essays in Medieval Studies,1043-2213,1538-4608,,,,,,,,fulltext,,,,Johns Hopkins University Press,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,,,,
Journal of Colonialism and Colonial History,,1532-5768,,,,,,,,fulltext,,,,Johns Hopkins University Press,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,,,,
New Hibernia Review / Iris Éireannach Nua,1092-3977,1534-5815,,,,,,,,fulltext,,,,Johns Hopkins University Press,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,,,,
Studies in Eighteenth Century Culture,0360-2370,1938-6133,,,,,,,,fulltext,,,,Johns Hopkins University Press,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,,,,
American Journal of Mathematics,0002-9327,1080-6377,,,,,,,,fulltext,,,,Johns Hopkins University Press,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,,,,
Advertising & Society Review,,1534-7311,,,,,,,,fulltext,,,,Johns Hopkins University Press,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,,,,
"Philosophy, Psychiatry, & Psychology",1071-6076,1086-3303,,,,,,,,fulltext,,,,Johns Hopkins University Press,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,,,,
Technology and Culture,0040-165X,1097-3729,,,,,,,,fulltext,,,,Johns Hopkins University Press,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,,,,
Preternature: Critical and Historical Studies on the Preternatural,2161-2196,2161-2188,,,,,,,,fulltext,,,,Johns Hopkins University Press,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,,,,
The Journal of the History of Childhood and Youth,1939-6724,1941-3599,,,,,,,,fulltext,,,,Johns Hopkins University Press,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,,,,
Asia Policy,1559-0968,1559-2960,,,,,,,,fulltext,,,,Johns Hopkins University Press,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,,,,
