publication_title,ID.issn,ID.eissn,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,ID.kbart_title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,ID.doi,platform.host.name,platform_host_url,platform.administrative.name,platform.administrative.url,hybrid_oa,access_start_date,access_end_date,ti_title,ti_id
Aberdare Leader,,,1902-07-06,,,1919-12-20,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3575295,,,,,,Aberdare Leader,28164
Aberdare Times,,,1861-06-04,,,1902-12-27,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3020618,,,,,,Aberdare Times,28165
Abergavenny Mail,,,1914-06-01,,,1914-01-08,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/4010658,,,,,,Abergavenny Mail,28166
Aberystwyth Observer,,,1858-06-19,,,1910-12-29,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3036868,,,,,,Aberystwyth Observer,28167
"Aberystwyth Times, Cardiganshire Chronicle and Merionethshire News (1868-1869)",,,1868-02-10,,,1870-06-25,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/browse,,,,,,"Aberystwyth Times, Cardiganshire Chronicle and Merionethshire News (1868-1869)",28168
Adsain,,,1906-07-01,,,1919-12-30,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/4007947,,,,,,Adsain,28169
Amman Valley Chronicle,,,1913-07-24,,,1919-12-25,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/4012351,,,,,,Amman Valley Chronicle,28170
Amserau,,,1846-01-15,,,1859-07-09,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/4239147,,,,,,Amserau,28171
Baner Ac Amserau Cymru (1859-1971),,,1914-10-01,,,1919-12-27,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3836771,,,,,,Baner Ac Amserau Cymru (1859-1971),28172
Barmouth and County Advertiser,,,1914-01-01,,,1917-12-27,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/4010866,,,,,,Barmouth and County Advertiser,28173
Barry Dock News,,,1889-01-31,,,1918-12-27,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3030599,,,,,,Barry Dock News,28174
Barry Herald,,,1896-02-21,,,1910-12-30,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3660817,,,,,,Barry Herald,28175
Brecon & Radnor Express Carmarthen and Swansea Valley Gazette and Brynmawr District Advertiser,,,1914-01-01,,,1918-12-26,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/4093082,,,,,,Brecon & Radnor Express Carmarthen and Swansea Valley Gazette and Brynmawr District Advertiser,28176
"Brecon Brecon County Times, Neath Gazette and General Advertiser",,,1866-05-05,,,1919-12-25,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3855818,,,,,,"Brecon Brecon County Times, Neath Gazette and General Advertiser",28177
Brecon Reporter,,,1865-07-01,,,1867-09-11,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3679650,,,,,,Brecon Reporter,28178
Brython (Lerpwl),,,1914-01-01,,,1919-12-25,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/4017305,,,,,,Brython (Lerpwl),28179
Brython Cymreig,,,1892-01-01,,,1910-12-29,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3690888,,,,,,Brython Cymreig,28180
Cambrian,,,1804-01-28,,,1910-12-30,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3320639,,,,,,Cambrian,28269
Cambrian Daily Leader,,,1913-01-01,,,1919-12-31,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/4095380,,,,,,Cambrian Daily Leader,28181
Cambrian News and Merionethshire Standard,,,1869-09-01,,,1919-12-26,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3305806,,,,,,Cambrian News and Merionethshire Standard,28182
"Cardiff and Merthyr Guardian, Glamorgan, Monmouth, and Brecon Gazette",,,1845-05-07,,,1874-01-17,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3088463,,,,,,"Cardiff and Merthyr Guardian, Glamorgan, Monmouth, and Brecon Gazette",28183
Cardiff Times,,,1858-02-10,,,1910-12-31,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3380665,,,,,,Cardiff Times,28184
"Cardigan Bay Visitor (Aberystwyth, Borth, Aberaeron and New Quay Ed.)",,,1887-06-24,,,1905-10-14,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3822159,,,,,,"Cardigan Bay Visitor (Aberystwyth, Borth, Aberaeron and New Quay Ed.)",28185
